Dataset,Model,Model_Name,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Macro Precision_Mean,Macro Precision_Std,Macro Recall_Mean,Macro Recall_Std
emotions,BR,BR (LinearSVC),0.6300176785801883,0.007824496992663035,0.6504190587834555,0.010222065761340824,0.20229795607776474,0.007273915439542331,0.2716978435156917,0.026434787283006262,0.598131059129471,0.013862476183475143,0.6883247050727854,0.02668054922921737,0.5916660809990363,0.010968939082018672
emotions,BR_Logistic,BR (Logistic Reg),0.5971886323818217,0.015003922746981825,0.6288902816450872,0.01763499401236179,0.2013467606130352,0.007563416814493299,0.2515766545128152,0.0311377039010091,0.54545767695543,0.022047622528316272,0.7182958499769347,0.04808783265952124,0.5338518113019624,0.018927935769489118
emotions,BR_MLP,BR (MLP),0.6784073446482318,0.015123772630963385,0.6852159408137336,0.015169384287893056,0.20172246218140436,0.004758408731932758,0.3004985015990263,0.022451070582772854,0.6586325253929471,0.014656488020931982,0.6647498732288976,0.030332046353418816,0.6983061431220262,0.014063272864274244
emotions,CC,CC (LinearSVC),0.6185719634598612,0.02283935260856645,0.6404620471018193,0.01751535023560297,0.22228056019730555,0.00775574488464297,0.2891325994722251,0.028661642347541948,0.6131943547939104,0.02305998302584059,0.6306060829969607,0.036105559796202565,0.6260937444300858,0.0170761282512355
emotions,CC_MLP,CC (MLP),0.6659170658849983,0.02171071833766756,0.6705402918925611,0.01574537925914005,0.227994158198943,0.008254801836489137,0.27659396663301633,0.0461690966483218,0.6447091808459461,0.014394511365599235,0.6136094683420666,0.042365366537489346,0.7414243247337349,0.018891931882189572
music,BR,BR (LinearSVC),0.6427709752272741,0.018415951644029305,0.6638618181986348,0.01848444392552969,0.19627201018028534,0.013417376124964065,0.2667921753664525,0.03403796533097135,0.611543594694143,0.013821131829657897,0.7015370925429661,0.044290212604592295,0.6088345943536889,0.016997945479969544
music,BR_Logistic,BR (Logistic Reg),0.60674071937973,0.01988872311313569,0.6436328371788422,0.018068591879029032,0.19568317838507268,0.009340892481326421,0.26027034890444656,0.03308885585219683,0.5694772986697214,0.0235624705594577,0.735126534907405,0.05641736990774208,0.5528979231363353,0.022569863597194692
music,BR_MLP,BR (MLP),0.6524351352965619,0.04050543640732309,0.6616537977947304,0.0402437508772351,0.21827577909332643,0.02455984793157746,0.28700370195883657,0.05640158885405136,0.634298841367635,0.03257850425160566,0.6333222024791862,0.03333298100582065,0.6766575965536085,0.04782101476098594
music,CC,CC (LinearSVC),0.6350378308931821,0.024735533244812105,0.6553653174850435,0.01991068980214261,0.2128607462106964,0.012380839409150059,0.2887983181103819,0.023296147706389447,0.6192849534424809,0.017307779839041228,0.6507478969774427,0.029532534114727182,0.6413199009622624,0.026480515683536127
music,CC_MLP,CC (MLP),0.670439780492632,0.027412731890468833,0.6744576121410477,0.021521495505178564,0.22304979647950737,0.014328651449501857,0.2888420209457099,0.0189563391122746,0.6481019700361673,0.01728563058514386,0.6193893238611962,0.023464343400203924,0.73791529753949,0.0347508594074891
