Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std,Selection Time Seconds_Mean,Selection Time Seconds_Std,Inference Time Seconds_Mean,Inference Time Seconds_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std
emotions,GSI_MLC_PA,full,,0.6240423540765665,0.027199784810884104,0.6311410007489012,0.025109960619500146,0.2706182911496911,0.009701813927166342,0.17399868880859753,0.05630443980377862,0.60198534522212,0.024440065452231242,0.4,0.5477225575051662,5.6,0.5477225575051662,0.5958445063998584,0.018491320303538405,0.8621056599999065,1.4124339609614471,0.007060940000064875,0.0015517099125849892,1.4272313117980957,1.425394216746078,,,,,,,,,,,,,,,,,,,,,,
emotions,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.19999999999999993,4.3885418357208765e-17,0.19999999999999993,4.3885418357208765e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
emotions,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.2497910826332399,0.00046192122573118793,0.2497910826332399,0.00046192122573118793,0.06666666666666667,0.14907119849998599,0.0,0.0,0.0,0.0,0.0019196803071488493,0.0018309906234627326,1.0,0.0,0.9980803196928513,0.001830990623462722,0.9980803196928513,0.001830990623462722
emotions,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,,,,,,,,,,,0.022071419221956858,0.019997437363624766,0.024554352608731317,0.02343742729341294,0.2983985875090341,0.002029546660339091,0.2983985875090341,0.002029546660339091,0.21046783625730994,0.1343763945283912,0.24551226551226552,0.20964232672189162,0.5361344537815126,0.3644342747636719,0.016483007692938725,0.006539261880574854,1.0,0.0,0.9835169923070615,0.006539261880574861,0.9835169923070615,0.006539261880574861
emotions,GSI_MLC_PA,rejection,0.35,,,,,,,,,,,,,,,,,,,,,,,0.10318224498644879,0.05905501912913397,0.11161820131330083,0.06079146775930241,0.32995561730164497,0.006235152028945135,0.32995561730164497,0.006235152028945135,0.09848960159128291,0.027874207512589406,0.5726689252776209,0.22493400011428524,0.7854575531994887,0.16246779711943457,0.07881236371211887,0.02037460645191312,1.0,0.0,0.9211876362878811,0.020374606451913146,0.9211876362878811,0.020374606451913146
emotions,GSI_MLC_PA,rejection,0.4,,,,,,,,,,,,,,,,,,,,,,,0.25131231092215206,0.07489048275712805,0.2646735426470624,0.07634404600017175,0.34277608774717094,0.01066551378726257,0.34277608774717094,0.01066551378726257,0.11529778507683,0.03153096364421621,0.7792953351815417,0.09833250691587384,0.8086280585306383,0.05808070542838516,0.20161705892172638,0.03323021739177333,0.9894954128440367,0.014411629308944886,0.7983829410782736,0.033230217391773356,0.7983829410782736,0.033230217391773356
music,GSI_MLC_PA,full,,0.6322834471386768,0.01983466837311794,0.6428782787952472,0.018433475424821804,0.2615514060180062,0.007017758429319623,0.21450544581152756,0.017032650207738687,0.6201439973352806,0.024419415027196783,0.0,0.0,6.0,0.0,0.600337073976006,0.024069257057939424,0.24150778000011996,0.005790653383973993,0.006082259999857342,0.000611990141281904,0.8094190120697021,0.018617261415875032,,,,,,,,,,,,,,,,,,,,,,
music,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.19999999999999987,2.7755575615628914e-17,0.19999999999999987,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
music,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,,,,,,,,,,,0.007815025651837795,0.011014742648867181,0.008920849420849423,0.010886746187948807,0.24957864501732896,0.00038465034475380574,0.24957864501732896,0.00038465034475380574,0.03333333333333333,0.07453559924999299,0.15555555555555553,0.1817269692644014,0.5714285714285714,0.524890659167824,0.002805868109955847,0.0034306743286522823,1.0,0.0,0.9971941318900441,0.00343067432865227,0.9971941318900441,0.00343067432865227
music,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,,,,,,,,,,,0.03767422355413545,0.018749947815642848,0.04184934201743847,0.022149661696091887,0.2932145119383406,0.0034438739606072535,0.2932145119383406,0.0034438739606072535,0.09449738986503693,0.050509462371849764,0.39246031746031745,0.12678555903311658,0.8072455648926237,0.0854919011267368,0.032920854855052264,0.013080324919715652,1.0,0.0,0.9670791451449479,0.013080324919715615,0.9670791451449479,0.013080324919715615
