Dataset,Model,Fold,Scope,Label Index,Label Name,Brier Score,ECE,Log Loss
emotions,MLC_PA_MLP,1,Aggregate,,,0.14993806862948253,0.029259157751443866,0.45967545752935207
emotions,MLC_PA_MLP,2,Aggregate,,,0.1433108498018037,0.02926339866483913,0.4415479081315359
emotions,MLC_PA_MLP,3,Aggregate,,,0.14130905140982433,0.036784709604592056,0.43519222476140496
emotions,MLC_PA_MLP,4,Aggregate,,,0.1396637566607571,0.042254712988182695,0.4329378546880164
emotions,MLC_PA_MLP,5,Aggregate,,,0.14739597314194583,0.04688469675655793,0.45406159271817026
emotions,MLC_PA_MLP,1,Per Label,0,amazed-suprised,0.13810986377901147,0.07246418105205521,0.4374028686737401
emotions,MLC_PA_MLP,1,Per Label,1,happy-pleased,0.19055554662099702,0.06939406059377018,0.5574918285407074
emotions,MLC_PA_MLP,1,Per Label,2,relaxing-calm,0.2043692348992162,0.14906986302039663,0.6031469788163705
emotions,MLC_PA_MLP,1,Per Label,3,quiet-still,0.08593337538146785,0.05658485513699593,0.2817129658792585
emotions,MLC_PA_MLP,1,Per Label,4,sad-lonely,0.1437678166548402,0.11905812721730011,0.45980836535051706
emotions,MLC_PA_MLP,1,Per Label,5,angry-aggresive,0.13689257444136238,0.06906688796951756,0.4184897379155192
emotions,MLC_PA_MLP,2,Per Label,0,amazed-suprised,0.16582790320790303,0.052950852425346355,0.4945878713764524
emotions,MLC_PA_MLP,2,Per Label,1,happy-pleased,0.17517242684849618,0.05696676123668166,0.5301689799827648
emotions,MLC_PA_MLP,2,Per Label,2,relaxing-calm,0.1783579798888579,0.08985220741073624,0.5213031542463618
emotions,MLC_PA_MLP,2,Per Label,3,quiet-still,0.06252784765474818,0.0952664656846338,0.22021762868859232
emotions,MLC_PA_MLP,2,Per Label,4,sad-lonely,0.14919227909221752,0.05181667557721879,0.47978797814220486
emotions,MLC_PA_MLP,2,Per Label,5,angry-aggresive,0.12878666211859932,0.09119957375551473,0.40322183635283904
emotions,MLC_PA_MLP,3,Per Label,0,amazed-suprised,0.12598121513760255,0.08694993749230616,0.3992753829340856
emotions,MLC_PA_MLP,3,Per Label,1,happy-pleased,0.196789750091393,0.09047330564599698,0.5800873690915758
emotions,MLC_PA_MLP,3,Per Label,2,relaxing-calm,0.14740834302222686,0.11838659189823197,0.4514949780695798
emotions,MLC_PA_MLP,3,Per Label,3,quiet-still,0.08708939155022781,0.08885505349220087,0.2799907676963268
emotions,MLC_PA_MLP,3,Per Label,4,sad-lonely,0.14257838924597843,0.08399317549102432,0.44069770934594493
emotions,MLC_PA_MLP,3,Per Label,5,angry-aggresive,0.14800721941151734,0.10084147967314877,0.45960714143091647
emotions,MLC_PA_MLP,4,Per Label,0,amazed-suprised,0.13843733957369717,0.0841977504082024,0.4348048366489806
emotions,MLC_PA_MLP,4,Per Label,1,happy-pleased,0.17210741698280277,0.08262926482905944,0.5166605157513849
emotions,MLC_PA_MLP,4,Per Label,2,relaxing-calm,0.1765029251943801,0.08331824115011839,0.5265067799483053
emotions,MLC_PA_MLP,4,Per Label,3,quiet-still,0.08116124768927042,0.0724454069393687,0.2696272946244482
emotions,MLC_PA_MLP,4,Per Label,4,sad-lonely,0.12930902718341447,0.07636074655068417,0.40514445389174997
emotions,MLC_PA_MLP,4,Per Label,5,angry-aggresive,0.14046458334097758,0.08654634829921028,0.44488324726322914
emotions,MLC_PA_MLP,5,Per Label,0,amazed-suprised,0.15630100995117757,0.06729720895170073,0.48128431011339584
emotions,MLC_PA_MLP,5,Per Label,1,happy-pleased,0.19290399614356837,0.07527187324786952,0.568019916932485
emotions,MLC_PA_MLP,5,Per Label,2,relaxing-calm,0.16534406800462165,0.15700233886616494,0.49938024622640353
emotions,MLC_PA_MLP,5,Per Label,3,quiet-still,0.08964578518212256,0.0641037397740255,0.2994534945767744
emotions,MLC_PA_MLP,5,Per Label,4,sad-lonely,0.13619715407009184,0.052394172424501784,0.4286762047125053
emotions,MLC_PA_MLP,5,Per Label,5,angry-aggresive,0.14398382550009292,0.06767197956390884,0.44755538374745724
emotions,GSI_MLC_PA_MLP,1,Aggregate,,,0.14875927309055925,0.028928045015635805,0.45734458295433866
emotions,GSI_MLC_PA_MLP,2,Aggregate,,,0.1433108498018037,0.02926339866483913,0.4415479081315359
emotions,GSI_MLC_PA_MLP,3,Aggregate,,,0.14130905140982433,0.036784709604592056,0.43519222476140496
emotions,GSI_MLC_PA_MLP,4,Aggregate,,,0.1396637566607571,0.042254712988182695,0.4329378546880164
emotions,GSI_MLC_PA_MLP,5,Aggregate,,,0.14739597314194583,0.04688469675655793,0.45406159271817026
emotions,GSI_MLC_PA_MLP,1,Per Label,0,amazed-suprised,0.13810986377901147,0.07246418105205521,0.4374028686737401
emotions,GSI_MLC_PA_MLP,1,Per Label,1,happy-pleased,0.19055554662099702,0.06939406059377018,0.5574918285407074
emotions,GSI_MLC_PA_MLP,1,Per Label,2,relaxing-calm,0.19729646166567646,0.16584736721009993,0.5891617313662895
emotions,GSI_MLC_PA_MLP,1,Per Label,3,quiet-still,0.08593337538146785,0.05658485513699593,0.2817129658792585
emotions,GSI_MLC_PA_MLP,1,Per Label,4,sad-lonely,0.1437678166548402,0.11905812721730011,0.45980836535051706
emotions,GSI_MLC_PA_MLP,1,Per Label,5,angry-aggresive,0.13689257444136238,0.06906688796951756,0.4184897379155192
emotions,GSI_MLC_PA_MLP,2,Per Label,0,amazed-suprised,0.16582790320790303,0.052950852425346355,0.4945878713764524
emotions,GSI_MLC_PA_MLP,2,Per Label,1,happy-pleased,0.17517242684849618,0.05696676123668166,0.5301689799827648
emotions,GSI_MLC_PA_MLP,2,Per Label,2,relaxing-calm,0.1783579798888579,0.08985220741073624,0.5213031542463618
emotions,GSI_MLC_PA_MLP,2,Per Label,3,quiet-still,0.06252784765474818,0.0952664656846338,0.22021762868859232
emotions,GSI_MLC_PA_MLP,2,Per Label,4,sad-lonely,0.14919227909221752,0.05181667557721879,0.47978797814220486
emotions,GSI_MLC_PA_MLP,2,Per Label,5,angry-aggresive,0.12878666211859932,0.09119957375551473,0.40322183635283904
emotions,GSI_MLC_PA_MLP,3,Per Label,0,amazed-suprised,0.12598121513760255,0.08694993749230616,0.3992753829340856
emotions,GSI_MLC_PA_MLP,3,Per Label,1,happy-pleased,0.196789750091393,0.09047330564599698,0.5800873690915758
emotions,GSI_MLC_PA_MLP,3,Per Label,2,relaxing-calm,0.14740834302222686,0.11838659189823197,0.4514949780695798
emotions,GSI_MLC_PA_MLP,3,Per Label,3,quiet-still,0.08708939155022781,0.08885505349220087,0.2799907676963268
emotions,GSI_MLC_PA_MLP,3,Per Label,4,sad-lonely,0.14257838924597843,0.08399317549102432,0.44069770934594493
emotions,GSI_MLC_PA_MLP,3,Per Label,5,angry-aggresive,0.14800721941151734,0.10084147967314877,0.45960714143091647
emotions,GSI_MLC_PA_MLP,4,Per Label,0,amazed-suprised,0.13843733957369717,0.0841977504082024,0.4348048366489806
emotions,GSI_MLC_PA_MLP,4,Per Label,1,happy-pleased,0.17210741698280277,0.08262926482905944,0.5166605157513849
emotions,GSI_MLC_PA_MLP,4,Per Label,2,relaxing-calm,0.1765029251943801,0.08331824115011839,0.5265067799483053
emotions,GSI_MLC_PA_MLP,4,Per Label,3,quiet-still,0.08116124768927042,0.0724454069393687,0.2696272946244482
emotions,GSI_MLC_PA_MLP,4,Per Label,4,sad-lonely,0.12930902718341447,0.07636074655068417,0.40514445389174997
