Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,MLC_PA_MLP,0.20,1,Operating Point,,0.10127706662542785,123,,0.49453551912568305,1.5401300034211427,0.7784810126582279,158,0.14890710382513658,0.7841530054644809,0.5218579234972678,0.5671195173708237,0.16803278688524592,0.3468033908517606,0.9521857923497268,0.9139229082225843,0.505464480874317,0.3324324324324324,0.9918032786885246,0.505464480874317,370,0.09668508287292821,0.9033149171270718,0.09668508287292821
emotions,MLC_PA_MLP,0.20,2,Operating Point,,0.08997580911135387,122,,0.49019607843137253,1.5953846153846156,0.8133333333333334,150,0.14117647058823526,0.7899159663865546,0.5042016806722689,0.6071122527958552,0.17086834733893563,0.32074217887170997,0.9607843137254902,0.9278544316675652,0.5098039215686274,0.33516483516483514,0.9915966386554622,0.5098039215686274,364,0.07999999999999996,0.92,0.07999999999999996
emotions,MLC_PA_MLP,0.20,3,Operating Point,,0.08746538183599448,104,,0.524390243902439,1.5185185185185186,0.7222222222222222,144,0.14932249322493224,0.8048780487804879,0.5756097560975609,0.6081808807748529,0.14092140921409213,0.28913737787143323,0.94579945799458,0.8973182586462861,0.47560975609756095,0.2962962962962963,0.983739837398374,0.47560975609756095,351,0.10335917312661502,0.896640826873385,0.10335917312661502
emotions,MLC_PA_MLP,0.20,4,Operating Point,,0.08476109572609122,123,,0.4638888888888889,1.5822762194032518,0.8482758620689655,145,0.1377777777777778,0.7986111111111112,0.5397222222222222,0.5983474177263791,0.17083333333333328,0.34960687593263506,0.9694444444444444,0.9479542936590142,0.5361111111111111,0.31865284974093266,1.0,0.5361111111111111,386,0.06586826347305386,0.9341317365269461,0.06586826347305386
emotions,MLC_PA_MLP,0.20,5,Operating Point,,0.09839533721192949,104,,0.5091743119266054,1.569539633091035,0.7703703703703704,135,0.14556574923547402,0.7935779816513762,0.5752293577981651,0.6316610154755695,0.15902140672782872,0.29116785011750235,0.9525993883792049,0.9228288655930719,0.4908256880733945,0.32398753894080995,0.981651376146789,0.4908256880733945,321,0.0930930930930931,0.9069069069069069,0.0930930930930931
emotions,MLC_PA_MLP,0.25,1,Operating Point,,0.10127706662542785,108,,0.5997267759562842,1.7076943016373611,0.6835443037974683,158,0.16837431693989072,0.7841530054644809,0.5218579234972678,0.5671195173708237,0.14754098360655743,0.3065575221928126,0.9316939890710383,0.8736770395636363,0.40027322404371585,0.36860068259385664,0.9508196721311475,0.40027322404371585,293,0.11389521640091116,0.8861047835990888,0.11389521640091116
emotions,MLC_PA_MLP,0.25,2,Operating Point,,0.08997580911135387,104,,0.5826330532212886,1.6612080536912752,0.6933333333333334,150,0.16876750700280113,0.7899159663865546,0.5042016806722689,0.6071122527958552,0.14565826330532217,0.271700826094623,0.9355742296918768,0.8788130788904782,0.4173669467787115,0.348993288590604,0.9663865546218487,0.4173669467787115,298,0.11057692307692313,0.8894230769230769,0.11057692307692313
emotions,MLC_PA_MLP,0.25,3,Operating Point,,0.08746538183599448,92,,0.6287262872628726,1.720802919708029,0.6388888888888888,144,0.1632791327913279,0.8048780487804879,0.5756097560975609,0.6081808807748529,0.12466124661246614,0.2508858252732652,0.929539295392954,0.8590667060481181,0.3712737127371274,0.3357664233576642,0.959349593495935,0.3712737127371274,274,0.11206896551724133,0.8879310344827587,0.11206896551724133
emotions,MLC_PA_MLP,0.25,4,Operating Point,,0.08476109572609122,105,,0.5736111111111111,1.6983039424912951,0.7241379310344828,145,0.16215277777777778,0.7986111111111112,0.5397222222222222,0.5983474177263791,0.14583333333333326,0.3027824614578948,0.9444444444444444,0.9011298791842739,0.4263888888888889,0.34201954397394135,0.9833333333333333,0.4263888888888889,307,0.09685230024213076,0.9031476997578692,0.09685230024213076
emotions,MLC_PA_MLP,0.25,5,Operating Point,,0.09839533721192949,83,,0.6131498470948012,1.589284145805885,0.6148148148148148,135,0.17622324159021407,0.7935779816513762,0.5752293577981651,0.6316610154755695,0.12691131498470942,0.23323436157028887,0.9204892966360856,0.8648953770458584,0.38685015290519875,0.32806324110671936,0.944954128440367,0.38685015290519875,253,0.1296758104738155,0.8703241895261845,0.1296758104738155
