Dataset,Model,Cost,Fold,Group,DL Coverage,DL Full Instance Jaccard,DL Full Macro Precision,DL Full Macro Recall,DL Full Macro-F1,DL Label Count,IL Coverage,IL Full Instance Jaccard,IL Full Macro Precision,IL Full Macro Recall,IL Full Macro-F1,IL Label Count
emotions,GSI_MLC_PA_MLP,,1,DL,1.0,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,,1,IL,,,,,,,1.0,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,,2,IL,,,,,,,1.0,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,,3,IL,,,,,,,1.0,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,,4,IL,,,,,,,1.0,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,,5,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,,5,IL,,,,,,,1.0,0.49311926605504586,0.7632586688602828,0.5579640462606758,0.6316610154755695,6
emotions,GSI_MLC_PA_MLP,0.20,1,DL,0.4016393442622951,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,1,IL,,,,,,,0.5360655737704918,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,0.20,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,2,IL,,,,,,,0.49019607843137253,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,0.20,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,3,IL,,,,,,,0.524390243902439,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,0.20,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,4,IL,,,,,,,0.4638888888888889,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,0.20,5,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,5,IL,,,,,,,0.5091743119266054,0.49311926605504586,0.7632586688602828,0.5579640462606758,0.6316610154755695,6
emotions,GSI_MLC_PA_MLP,0.25,1,DL,0.45901639344262296,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,1,IL,,,,,,,0.6344262295081967,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,0.25,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,2,IL,,,,,,,0.5826330532212886,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,0.25,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,3,IL,,,,,,,0.6287262872628726,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,0.25,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,4,IL,,,,,,,0.5736111111111111,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,0.25,5,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,5,IL,,,,,,,0.6131498470948012,0.49311926605504586,0.7632586688602828,0.5579640462606758,0.6316610154755695,6
emotions,GSI_MLC_PA_MLP,0.30,1,DL,0.5819672131147541,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,1,IL,,,,,,,0.7508196721311475,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,0.30,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,2,IL,,,,,,,0.6764705882352942,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,0.30,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,3,IL,,,,,,,0.7249322493224932,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,0.30,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,4,IL,,,,,,,0.6722222222222223,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,0.30,5,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,5,IL,,,,,,,0.6896024464831805,0.49311926605504586,0.7632586688602828,0.5579640462606758,0.6316610154755695,6
emotions,GSI_MLC_PA_MLP,0.35,1,DL,0.6885245901639344,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.35,1,IL,,,,,,,0.819672131147541,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,0.35,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.35,2,IL,,,,,,,0.7689075630252101,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,0.35,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.35,3,IL,,,,,,,0.7899728997289973,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,0.35,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.35,4,IL,,,,,,,0.7666666666666667,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,0.35,5,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.35,5,IL,,,,,,,0.7737003058103975,0.49311926605504586,0.7632586688602828,0.5579640462606758,0.6316610154755695,6
emotions,GSI_MLC_PA_MLP,0.40,1,DL,0.7786885245901639,0.7213114754098361,0.6792452830188679,0.6792452830188679,0.6792452830188679,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.40,1,IL,,,,,,,0.8803278688524591,0.44125683060109294,0.6725214881736621,0.4787935078337554,0.5484333291018691,5
emotions,GSI_MLC_PA_MLP,0.40,2,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.40,2,IL,,,,,,,0.84593837535014,0.4355742296918767,0.7199987377112479,0.5285929638016752,0.6071122527958552,6
emotions,GSI_MLC_PA_MLP,0.40,3,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.40,3,IL,,,,,,,0.8685636856368564,0.49457994579945797,0.6685986425021513,0.5927447432193117,0.6081808807748529,6
emotions,GSI_MLC_PA_MLP,0.40,4,DL,,,,,,0,,,,,,
emotions,GSI_MLC_PA_MLP,0.40,4,IL,,,,,,,0.8430555555555556,0.45972222222222225,0.7482695767632247,0.5244533195903018,0.5983474177263791,6
emotions,GSI_MLC_PA_MLP,0.40,5,DL,,,,,,0,,,,,,
