Dataset,Model,Cost,Fold,Label Index,Label Name,Coverage,Full F1,Full Hamming Accuracy,Full Precision,Full Recall,Negative Support,Positive Support,Prevalence,Rejected Error Count,Rejected Position Count,Selective F1,Selective Precision,Selective Recall
emotions,MLC_PA_MLP,,1,0,amazed-suprised,1.0,0.5818181818181818,0.8114754098360656,0.7619047619047619,0.47058823529411764,88,34,0.2786885245901639,0,0,0.5818181818181818,0.7619047619047619,0.47058823529411764
emotions,MLC_PA_MLP,,1,1,happy-pleased,1.0,0.18604651162790697,0.7131147540983607,0.4,0.12121212121212122,89,33,0.27049180327868855,0,0,0.18604651162790697,0.4,0.12121212121212122
emotions,MLC_PA_MLP,,1,2,relaxing-calm,1.0,0.6605504587155964,0.6967213114754098,0.6428571428571429,0.6792452830188679,69,53,0.4344262295081967,0,0,0.6605504587155964,0.6428571428571429,0.6792452830188679
emotions,MLC_PA_MLP,,1,3,quiet-still,1.0,0.7368421052631579,0.8770491803278688,0.7777777777777778,0.7,92,30,0.2459016393442623,0,0,0.7368421052631579,0.7777777777777778,0.7
emotions,MLC_PA_MLP,,1,4,sad-lonely,1.0,0.5614035087719298,0.7950819672131147,0.6956521739130435,0.47058823529411764,88,34,0.2786885245901639,0,0,0.5614035087719298,0.6956521739130435,0.47058823529411764
emotions,MLC_PA_MLP,,1,5,angry-aggresive,1.0,0.676056338028169,0.8114754098360656,0.7272727272727273,0.631578947368421,84,38,0.3114754098360656,0,0,0.676056338028169,0.7272727272727273,0.631578947368421
emotions,MLC_PA_MLP,,2,0,amazed-suprised,1.0,0.53125,0.7478991596638656,0.5862068965517241,0.4857142857142857,84,35,0.29411764705882354,0,0,0.53125,0.5862068965517241,0.4857142857142857
emotions,MLC_PA_MLP,,2,1,happy-pleased,1.0,0.43137254901960786,0.7563025210084033,0.6111111111111112,0.3333333333333333,86,33,0.2773109243697479,0,0,0.43137254901960786,0.6111111111111112,0.3333333333333333
emotions,MLC_PA_MLP,,2,2,relaxing-calm,1.0,0.631578947368421,0.7058823529411765,0.6976744186046512,0.5769230769230769,67,52,0.4369747899159664,0,0,0.631578947368421,0.6976744186046512,0.5769230769230769
emotions,MLC_PA_MLP,,2,3,quiet-still,1.0,0.7755102040816326,0.907563025210084,0.95,0.6551724137931034,90,29,0.24369747899159663,0,0,0.7755102040816326,0.95,0.6551724137931034
emotions,MLC_PA_MLP,,2,4,sad-lonely,1.0,0.5964912280701754,0.8067226890756303,0.7083333333333334,0.5151515151515151,86,33,0.2773109243697479,0,0,0.5964912280701754,0.7083333333333334,0.5151515151515151
emotions,MLC_PA_MLP,,2,5,angry-aggresive,1.0,0.6764705882352942,0.8151260504201681,0.7666666666666667,0.6052631578947368,81,38,0.31932773109243695,0,0,0.6764705882352942,0.7666666666666667,0.6052631578947368
emotions,MLC_PA_MLP,,3,0,amazed-suprised,1.0,0.704225352112676,0.8292682926829268,0.6756756756756757,0.7352941176470589,89,34,0.2764227642276423,0,0,0.704225352112676,0.6756756756756757,0.7352941176470589
emotions,MLC_PA_MLP,,3,1,happy-pleased,1.0,0.1951219512195122,0.7317073170731707,0.5,0.12121212121212122,90,33,0.2682926829268293,0,0,0.1951219512195122,0.5,0.12121212121212122
emotions,MLC_PA_MLP,,3,2,relaxing-calm,1.0,0.7636363636363637,0.7886178861788617,0.7368421052631579,0.7924528301886793,70,53,0.43089430894308944,0,0,0.7636363636363637,0.7368421052631579,0.7924528301886793
emotions,MLC_PA_MLP,,3,3,quiet-still,1.0,0.7142857142857143,0.8699186991869918,0.7407407407407407,0.6896551724137931,94,29,0.23577235772357724,0,0,0.7142857142857143,0.7407407407407407,0.6896551724137931
emotions,MLC_PA_MLP,,3,4,sad-lonely,1.0,0.5964912280701754,0.8130081300813008,0.7083333333333334,0.5151515151515151,90,33,0.2682926829268293,0,0,0.5964912280701754,0.7083333333333334,0.5151515151515151
emotions,MLC_PA_MLP,,3,5,angry-aggresive,1.0,0.6753246753246753,0.7967479674796748,0.65,0.7027027027027027,86,37,0.3008130081300813,0,0,0.6753246753246753,0.65,0.7027027027027027
emotions,MLC_PA_MLP,,4,0,amazed-suprised,1.0,0.5925925925925926,0.8166666666666667,0.8421052631578947,0.45714285714285713,85,35,0.2916666666666667,0,0,0.5925925925925926,0.8421052631578947,0.45714285714285713
emotions,MLC_PA_MLP,,4,1,happy-pleased,1.0,0.3181818181818182,0.75,0.6363636363636364,0.21212121212121213,87,33,0.275,0,0,0.3181818181818182,0.6363636363636364,0.21212121212121213
emotions,MLC_PA_MLP,,4,2,relaxing-calm,1.0,0.6972477064220184,0.725,0.6785714285714286,0.7169811320754716,67,53,0.44166666666666665,0,0,0.6972477064220184,0.6785714285714286,0.7169811320754716
emotions,MLC_PA_MLP,,4,3,quiet-still,1.0,0.7796610169491526,0.8916666666666667,0.7931034482758621,0.7666666666666667,90,30,0.25,0,0,0.7796610169491526,0.7931034482758621,0.7666666666666667
emotions,MLC_PA_MLP,,4,4,sad-lonely,1.0,0.5660377358490566,0.8083333333333333,0.7894736842105263,0.4411764705882353,86,34,0.2833333333333333,0,0,0.5660377358490566,0.7894736842105263,0.4411764705882353
emotions,MLC_PA_MLP,,4,5,angry-aggresive,1.0,0.6363636363636364,0.8,0.75,0.5526315789473685,82,38,0.31666666666666665,0,0,0.6363636363636364,0.75,0.5526315789473685
emotions,MLC_PA_MLP,,5,0,amazed-suprised,1.0,0.625,0.7798165137614679,0.6896551724137931,0.5714285714285714,74,35,0.3211009174311927,0,0,0.625,0.6896551724137931,0.5714285714285714
emotions,MLC_PA_MLP,,5,1,happy-pleased,1.0,0.3111111111111111,0.7155963302752294,0.6363636363636364,0.20588235294117646,75,34,0.3119266055045872,0,0,0.3111111111111111,0.6363636363636364,0.20588235294117646
emotions,MLC_PA_MLP,,5,2,relaxing-calm,1.0,0.72,0.7431192660550459,0.7659574468085106,0.6792452830188679,56,53,0.48623853211009177,0,0,0.72,0.7659574468085106,0.6792452830188679
emotions,MLC_PA_MLP,,5,3,quiet-still,1.0,0.8,0.8990825688073395,0.88,0.7333333333333333,79,30,0.27522935779816515,0,0,0.8,0.88,0.7333333333333333
emotions,MLC_PA_MLP,,5,4,sad-lonely,1.0,0.6296296296296297,0.8165137614678899,0.85,0.5,75,34,0.3119266055045872,0,0,0.6296296296296297,0.85,0.5
emotions,MLC_PA_MLP,,5,5,angry-aggresive,1.0,0.704225352112676,0.8073394495412844,0.7575757575757576,0.6578947368421053,71,38,0.3486238532110092,0,0,0.704225352112676,0.7575757575757576,0.6578947368421053
emotions,MLC_PA_MLP,0.20,1,0,amazed-suprised,0.5655737704918032,0.5818181818181818,0.8114754098360656,0.7619047619047619,0.47058823529411764,88,34,0.2786885245901639,18,53,0.6153846153846154,1.0,0.4444444444444444
emotions,MLC_PA_MLP,0.20,1,1,happy-pleased,0.36065573770491804,0.18604651162790697,0.7131147540983607,0.4,0.12121212121212122,89,33,0.27049180327868855,28,78,0.0,0.0,0.0
emotions,MLC_PA_MLP,0.20,1,2,relaxing-calm,0.28688524590163933,0.6605504587155964,0.6967213114754098,0.6428571428571429,0.6792452830188679,69,53,0.4344262295081967,30,87,0.6666666666666666,0.5,1.0
emotions,MLC_PA_MLP,0.20,1,3,quiet-still,0.7459016393442623,0.7368421052631579,0.8770491803278688,0.7777777777777778,0.7,92,30,0.2459016393442623,11,31,0.875,0.9333333333333333,0.8235294117647058
emotions,MLC_PA_MLP,0.20,1,4,sad-lonely,0.5163934426229508,0.5614035087719298,0.7950819672131147,0.6956521739130435,0.47058823529411764,88,34,0.2786885245901639,16,59,0.64,0.8888888888888888,0.5
emotions,MLC_PA_MLP,0.20,1,5,angry-aggresive,0.4918032786885246,0.676056338028169,0.8114754098360656,0.7272727272727273,0.631578947368421,84,38,0.3114754098360656,20,62,0.6666666666666666,0.75,0.6
emotions,MLC_PA_MLP,0.20,2,0,amazed-suprised,0.5630252100840336,0.53125,0.7478991596638656,0.5862068965517241,0.4857142857142857,84,35,0.29411764705882354,22,52,0.6363636363636364,0.7777777777777778,0.5384615384615384
emotions,MLC_PA_MLP,0.20,2,1,happy-pleased,0.2689075630252101,0.43137254901960786,0.7563025210084033,0.6111111111111112,0.3333333333333333,86,33,0.2773109243697479,24,87,0.0,0.0,0.0
emotions,MLC_PA_MLP,0.20,2,2,relaxing-calm,0.3445378151260504,0.631578947368421,0.7058823529411765,0.6976744186046512,0.5769230769230769,67,52,0.4369747899159664,33,78,0.9,1.0,0.8181818181818182
emotions,MLC_PA_MLP,0.20,2,3,quiet-still,0.7310924369747899,0.7755102040816326,0.907563025210084,0.95,0.6551724137931034,90,29,0.24369747899159663,10,32,0.9523809523809523,1.0,0.9090909090909091
emotions,MLC_PA_MLP,0.20,2,4,sad-lonely,0.5714285714285714,0.5964912280701754,0.8067226890756303,0.7083333333333334,0.5151515151515151,86,33,0.2773109243697479,14,51,0.5714285714285714,0.8571428571428571,0.42857142857142855
emotions,MLC_PA_MLP,0.20,2,5,angry-aggresive,0.46218487394957986,0.6764705882352942,0.8151260504201681,0.7666666666666667,0.6052631578947368,81,38,0.31932773109243695,19,64,0.5714285714285714,0.6666666666666666,0.5
emotions,MLC_PA_MLP,0.20,3,0,amazed-suprised,0.6504065040650406,0.704225352112676,0.8292682926829268,0.6756756756756757,0.7352941176470589,89,34,0.2764227642276423,13,43,0.6923076923076923,0.75,0.6428571428571429
emotions,MLC_PA_MLP,0.20,3,1,happy-pleased,0.3333333333333333,0.1951219512195122,0.7317073170731707,0.5,0.12121212121212122,90,33,0.2682926829268293,24,82,0.0,0.0,0.0
emotions,MLC_PA_MLP,0.20,3,2,relaxing-calm,0.3333333333333333,0.7636363636363637,0.7886178861788617,0.7368421052631579,0.7924528301886793,70,53,0.43089430894308944,23,82,0.8421052631578947,0.7272727272727273,1.0
emotions,MLC_PA_MLP,0.20,3,3,quiet-still,0.7479674796747967,0.7142857142857143,0.8699186991869918,0.7407407407407407,0.6896551724137931,94,29,0.23577235772357724,12,31,0.8333333333333334,0.8333333333333334,0.8333333333333334
