Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,MLC_PA_MLP,1,0,0.01224645344191231,180,0.0,0.04557978677524564,0.03333333333333333,0.1
emotions,MLC_PA_MLP,1,1,0.007742497686515831,136,0.1,0.147448380039457,0.13970588235294118,0.2
emotions,MLC_PA_MLP,1,2,0.023084404964406946,119,0.2,0.24997516126692795,0.226890756302521,0.3
emotions,MLC_PA_MLP,1,3,0.04591294432031939,69,0.3,0.3453914035057676,0.391304347826087,0.4
emotions,MLC_PA_MLP,1,4,0.003148759747373664,58,0.4,0.4514246218163392,0.4482758620689655,0.5
emotions,MLC_PA_MLP,1,5,0.026627556199119162,42,0.5,0.550437080008643,0.5238095238095238,0.6
emotions,MLC_PA_MLP,1,6,0.115702329410447,36,0.6,0.634297670589553,0.75,0.7
emotions,MLC_PA_MLP,1,7,0.045683365801106324,46,0.7,0.7413355397141498,0.6956521739130435,0.8
emotions,MLC_PA_MLP,1,8,0.06318869973931995,28,0.8,0.8489029854536057,0.7857142857142857,0.9
emotions,MLC_PA_MLP,1,9,0.16157428423563636,18,0.9,0.9393520620134141,0.7777777777777778,1.0
emotions,MLC_PA_MLP,2,0,0.021252778958689215,163,0.0,0.051927625584456086,0.03067484662576687,0.1
emotions,MLC_PA_MLP,2,1,0.019820148512821073,149,0.1,0.14733692703631102,0.12751677852348994,0.2
emotions,MLC_PA_MLP,2,2,0.035598873375700085,104,0.2,0.24713733491416162,0.21153846153846154,0.3
emotions,MLC_PA_MLP,2,3,0.028236684729071204,85,0.3,0.3482339035062229,0.3764705882352941,0.4
emotions,MLC_PA_MLP,2,4,0.06238900094616173,49,0.4,0.44781508068649134,0.5102040816326531,0.5
emotions,MLC_PA_MLP,2,5,0.04670549025301074,61,0.5,0.5434584441732188,0.5901639344262295,0.6
emotions,MLC_PA_MLP,2,6,0.040771426426039814,36,0.6,0.6536730180184046,0.6944444444444444,0.7
emotions,MLC_PA_MLP,2,7,0.011744856834411621,29,0.7,0.7468758328207608,0.7586206896551724,0.8
emotions,MLC_PA_MLP,2,8,3.5961469014522685e-05,27,0.8,0.8518878133208664,0.8518518518518519,0.9
emotions,MLC_PA_MLP,2,9,0.0598928549072959,11,0.9,0.9401071450927041,1.0,1.0
emotions,MLC_PA_MLP,3,0,0.018289738702112108,186,0.0,0.045171459132219635,0.026881720430107527,0.1
emotions,MLC_PA_MLP,3,1,0.0029172669164836407,144,0.1,0.14875060024981698,0.14583333333333334,0.2
emotions,MLC_PA_MLP,3,2,0.05137883057104092,107,0.2,0.24764051281403157,0.19626168224299065,0.3
emotions,MLC_PA_MLP,3,3,0.08221190273761747,60,0.3,0.34887856940428413,0.26666666666666666,0.4
emotions,MLC_PA_MLP,3,4,0.0150807686150074,48,0.4,0.4432525647183259,0.4583333333333333,0.5
emotions,MLC_PA_MLP,3,5,0.07977725413380843,49,0.5,0.5528758070906814,0.6326530612244898,0.6
emotions,MLC_PA_MLP,3,6,0.012159241282421629,46,0.6,0.6400146717610566,0.6521739130434783,0.7
emotions,MLC_PA_MLP,3,7,0.02092975232659322,41,0.7,0.7526370693997639,0.7317073170731707,0.8
