Dataset,Model,Cost,Fold,AABS,ABS,AURC,Abstained Position Count,Coverage,Decided Position Count,Error Capture Rate,Errors Avoided,Full Error Count,Generalized Loss,Optimistic Hamming Accuracy,Optimistic Instance Jaccard,Optimistic Instance-F1,Optimistic Macro-F1,Optimistic Micro-F1,Oracle Gain Hamming Accuracy,Oracle Gain Instance Jaccard,Oracle Gain Instance-F1,Oracle Gain Macro-F1,Oracle Gain Micro-F1,Rejected Counterfactual Macro-F1,Rejected Error Count,Rejected Error Rate,Rejected Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Macro-F1,Selective Micro-F1,Total Position Count
emotions,MLC_PA_MLP,0.20,1,0.505464480874317,0.9918032786885246,0.10127706662542785,370,0.49453551912568305,362,0.7784810126582279,123,158,0.14890710382513658,0.9521857923497268,0.8633879781420765,0.8972677595628415,0.9139229082225843,0.9184149184149184,0.16803278688524592,0.40915300546448075,0.37540983606557377,0.3468033908517606,0.32147614290471427,0.5316935095967353,123,0.3324324324324324,370,0.09668508287292818,0.9033149171270718,0.5772863247863248,0.6728971962616822,732
emotions,MLC_PA_MLP,0.20,2,0.5098039215686274,0.9915966386554622,0.08997580911135387,364,0.49019607843137253,350,0.8133333333333334,122,150,0.14117647058823526,0.9607843137254902,0.8865546218487395,0.9109243697478991,0.9278544316675652,0.9333333333333333,0.17086834733893563,0.45098039215686275,0.40672268907563025,0.32074217887170997,0.32395833333333335,0.5761573649813136,122,0.33516483516483514,364,0.08,0.92,0.6052669552669552,0.7083333333333334,714
emotions,MLC_PA_MLP,0.20,3,0.47560975609756095,0.983739837398374,0.08746538183599448,351,0.524390243902439,387,0.7222222222222222,104,144,0.14932249322493224,0.94579945799458,0.8414634146341464,0.8842818428184281,0.8973182586462861,0.9061032863849765,0.14092140921409213,0.34688346883468846,0.3086720867208672,0.28913737787143323,0.2556178494917726,0.5978410576814833,104,0.2962962962962963,351,0.10335917312661498,0.896640826873385,0.6094391962813015,0.6825396825396826,738
emotions,MLC_PA_MLP,0.20,4,0.5361111111111111,1.0,0.08476109572609122,386,0.4638888888888889,334,0.8482758620689655,123,145,0.1377777777777778,0.9694444444444444,0.9152777777777779,0.9366666666666668,0.9479542936590142,0.9495412844036697,0.17083333333333328,0.4555555555555556,0.39694444444444454,0.34960687593263506,0.32616466102704633,0.5894648177256873,123,0.31865284974093266,386,0.0658682634730539,0.9341317365269461,0.5599821746880571,0.7027027027027027,720
emotions,MLC_PA_MLP,0.20,5,0.4908256880733945,0.981651376146789,0.09839533721192949,321,0.5091743119266054,333,0.7703703703703704,104,135,0.14556574923547402,0.9525993883792049,0.8730886850152905,0.901223241590214,0.9228288655930719,0.9284064665127021,0.15902140672782872,0.3799694189602446,0.32599388379204897,0.29116785011750235,0.27545016831218794,0.640971931294512,104,0.32398753894080995,321,0.09309309309309309,0.9069069069069069,0.5409314348673617,0.6736842105263158,654
emotions,MLC_PA_MLP,0.25,1,0.40027322404371585,0.9508196721311475,0.10127706662542785,293,0.5997267759562842,439,0.6835443037974683,108,158,0.16837431693989072,0.9316939890710383,0.7950819672131147,0.8379781420765027,0.8736770395636363,0.8815165876777251,0.14754098360655743,0.34084699453551903,0.3161202185792349,0.3065575221928126,0.284577812167521,0.523476947582794,108,0.36860068259385664,293,0.11389521640091116,0.8861047835990888,0.5752276756113073,0.6575342465753424,732
emotions,MLC_PA_MLP,0.25,2,0.4173669467787115,0.9663865546218487,0.08997580911135387,298,0.5826330532212886,416,0.6933333333333334,104,150,0.16876750700280113,0.9355742296918768,0.7997198879551822,0.8369747899159663,0.8788130788904782,0.8872549019607843,0.14565826330532217,0.3641456582633055,0.3327731092436974,0.271700826094623,0.27787990196078427,0.5932370880196968,104,0.348993288590604,298,0.11057692307692307,0.8894230769230769,0.5814339981006648,0.6461538461538462,714
emotions,MLC_PA_MLP,0.25,3,0.3712737127371274,0.959349593495935,0.08746538183599448,274,0.6287262872628726,464,0.6388888888888888,92,144,0.1632791327913279,0.929539295392954,0.7859078590785908,0.83739837398374,0.8590667060481181,0.8755980861244019,0.12466124661246614,0.2913279132791329,0.261788617886179,0.2508858252732652,0.225112649231198,0.573293955126959,92,0.3357664233576642,274,0.11206896551724138,0.8879310344827587,0.640256168767607,0.7011494252873564,738
emotions,MLC_PA_MLP,0.25,4,0.4263888888888889,0.9833333333333333,0.08476109572609122,307,0.5736111111111111,413,0.7241379310344828,105,145,0.16215277777777778,0.9444444444444444,0.8333333333333334,0.8738888888888889,0.9011298791842739,0.9061032863849765,0.14583333333333326,0.3736111111111111,0.3341666666666667,0.3027824614578948,0.28272666300835314,0.5967276605574477,105,0.34201954397394135,307,0.09685230024213075,0.9031476997578692,0.5505962201742601,0.6721311475409836,720
emotions,MLC_PA_MLP,0.25,5,0.38685015290519875,0.944954128440367,0.09839533721192949,253,0.6131498470948012,401,0.6148148148148148,83,135,0.17622324159021407,0.9204892966360856,0.7920489296636085,0.838532110091743,0.8648953770458584,0.8767772511848341,0.12691131498470942,0.29892966360856266,0.2633027522935779,0.23323436157028887,0.22382095298431992,0.6508476795216809,83,0.32806324110671936,253,0.12967581047381546,0.8703241895261845,0.5825450937950939,0.6623376623376623,654
