Dataset,Model,Fold,Scope,Label Index,Label Name,Brier Score,ECE,Log Loss
emotions,BR_SVM,1,Aggregate,,,0.14504611881950197,0.0443580654681672,0.45239764181990827
emotions,BR_SVM,2,Aggregate,,,0.14153458776781455,0.05427104490603805,0.4310861790025181
emotions,BR_SVM,3,Aggregate,,,0.1432404370783175,0.045027159645308734,0.44915629527701917
emotions,BR_SVM,4,Aggregate,,,0.14161703830354377,0.04673047745394695,0.4408890994395108
emotions,BR_SVM,5,Aggregate,,,0.14754633689689844,0.056349452984683635,0.45135343846211085
emotions,BR_SVM,1,Per Label,0,amazed-suprised,0.1468349482495732,0.0888271471141975,0.4521721025980284
emotions,BR_SVM,1,Per Label,1,happy-pleased,0.19775356642703634,0.05106074112604876,0.581815833216102
emotions,BR_SVM,1,Per Label,2,relaxing-calm,0.18823077692262702,0.0920395890143929,0.5699564430579924
emotions,BR_SVM,1,Per Label,3,quiet-still,0.07407906660108049,0.02861866850165169,0.259582696432274
emotions,BR_SVM,1,Per Label,4,sad-lonely,0.1352160968441057,0.100361289555726,0.4454782896492927
emotions,BR_SVM,1,Per Label,5,angry-aggresive,0.12816225787258917,0.1152681794887567,0.40538048596576065
emotions,BR_SVM,2,Per Label,0,amazed-suprised,0.16122698720886197,0.09277518102977454,0.48057332144777376
emotions,BR_SVM,2,Per Label,1,happy-pleased,0.17709059511897995,0.1443692879015658,0.5314927034316608
emotions,BR_SVM,2,Per Label,2,relaxing-calm,0.19772487368302696,0.10243659356937689,0.5702917279832673
emotions,BR_SVM,2,Per Label,3,quiet-still,0.051825754363398154,0.05677833748109341,0.1749493470003488
emotions,BR_SVM,2,Per Label,4,sad-lonely,0.13409476255130598,0.09541693514510363,0.4238692658887958
emotions,BR_SVM,2,Per Label,5,angry-aggresive,0.12724455368131424,0.12388795961336303,0.4053407082632624
emotions,BR_SVM,3,Per Label,0,amazed-suprised,0.13456779302981847,0.0801007816628591,0.4249053326818293
emotions,BR_SVM,3,Per Label,1,happy-pleased,0.2010929629199021,0.0518273217527847,0.5922412319357734
emotions,BR_SVM,3,Per Label,2,relaxing-calm,0.14783709869955514,0.1284029411409444,0.4625659437295069
emotions,BR_SVM,3,Per Label,3,quiet-still,0.09431362439598698,0.0978269697238016,0.29379557554628905
emotions,BR_SVM,3,Per Label,4,sad-lonely,0.13777856101258973,0.10303328681139255,0.45583993734599737
emotions,BR_SVM,3,Per Label,5,angry-aggresive,0.1438525824120524,0.07719886375683913,0.46558975042271916
emotions,BR_SVM,4,Per Label,0,amazed-suprised,0.1479953078758861,0.11521812301749984,0.46064519023279105
emotions,BR_SVM,4,Per Label,1,happy-pleased,0.18587378613335598,0.04669773007432619,0.551409572121472
emotions,BR_SVM,4,Per Label,2,relaxing-calm,0.1710331640136373,0.10520098488777879,0.518661154683281
emotions,BR_SVM,4,Per Label,3,quiet-still,0.06883739592914241,0.051740649652765563,0.23957156799452614
emotions,BR_SVM,4,Per Label,4,sad-lonely,0.14372333773653925,0.07976757016343375,0.44610770401386785
emotions,BR_SVM,4,Per Label,5,angry-aggresive,0.13223923813270153,0.09008865508221789,0.42893940759112653
emotions,BR_SVM,5,Per Label,0,amazed-suprised,0.16635883166937485,0.08829597551204744,0.5051329923981921
emotions,BR_SVM,5,Per Label,1,happy-pleased,0.19567042076655644,0.09112794273490203,0.573123496493958
