Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,BR_SVM,1,0.8114754098360656,0.1885245901639344,0.5259562841530055,0.5890710382513661,0.721218487394958,0.5426068028848565,0.597602612390748,0.6424870466321243,0.32786885245901637
emotions,BR_SVM,2,0.7927170868347339,0.20728291316526612,0.44537815126050423,0.5131652661064425,0.6543827160493827,0.4757918125431737,0.5472967449301249,0.5888888888888889,0.23529411764705882
emotions,BR_SVM,3,0.7994579945799458,0.2005420054200542,0.486449864498645,0.5628726287262873,0.6285058895353013,0.5462460388500421,0.5754488038510298,0.6262626262626263,0.25203252032520324
emotions,BR_SVM,4,0.7944444444444445,0.20555555555555555,0.4631944444444444,0.5433333333333333,0.7085987088969089,0.5119856362393894,0.5779402789841044,0.6145833333333334,0.225
emotions,BR_SVM,5,0.7828746177370031,0.21712538226299694,0.44954128440366975,0.5324159021406728,0.7308080808080808,0.4950813493222513,0.5648692244675182,0.6162162162162163,0.2018348623853211
emotions,CC_SVM,1,0.7814207650273224,0.2185792349726776,0.5286885245901639,0.5967213114754099,0.6360783424077435,0.5871372466413065,0.576146178239184,0.6244131455399061,0.319672131147541
emotions,CC_SVM,2,0.7591036414565826,0.24089635854341737,0.47647058823529415,0.5501400560224089,0.5351338880824138,0.5322944699986443,0.5270942400579857,0.5784313725490197,0.25210084033613445
emotions,CC_SVM,3,0.7791327913279132,0.22086720867208673,0.497289972899729,0.5772357723577236,0.5762716977629259,0.5907925964089613,0.5698511055867169,0.62004662004662,0.25203252032520324
emotions,CC_SVM,4,0.7777777777777778,0.2222222222222222,0.5023611111111111,0.5875,0.6430627548552077,0.5723634077626718,0.5721042935234072,0.6208530805687204,0.25
emotions,CC_SVM,5,0.7675840978593272,0.2324159021406728,0.49954128440366974,0.5859327217125382,0.6590533794162826,0.5547531889286665,0.5637931304885476,0.6274509803921569,0.25688073394495414
emotions,MLC_PA_SVM,1,0.8114754098360656,0.1885245901639344,0.5259562841530055,0.5890710382513661,0.721218487394958,0.5426068028848565,0.597602612390748,0.6424870466321243,0.32786885245901637
