Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,BR_SVM,1,0,0.004975695097231579,178,0.0,0.03996812512748752,0.0449438202247191,0.1
emotions,BR_SVM,1,1,0.007414153421954284,139,0.1,0.1512990455082852,0.14388489208633093,0.2
emotions,BR_SVM,1,2,0.06318844312971289,110,0.2,0.2540975340388038,0.19090909090909092,0.3
emotions,BR_SVM,1,3,0.0185170790244793,87,0.3,0.3518504123578126,0.3333333333333333,0.4
emotions,BR_SVM,1,4,0.07350819254363028,54,0.4,0.44387856291400063,0.37037037037037035,0.5
emotions,BR_SVM,1,5,0.11787761534963337,42,0.5,0.5487890513170333,0.6666666666666666,0.6
emotions,BR_SVM,1,6,0.14490091036527575,39,0.6,0.6499708845065191,0.7948717948717948,0.7
emotions,BR_SVM,1,7,0.046313112272935664,34,0.7,0.7478045347858878,0.7941176470588235,0.8
emotions,BR_SVM,1,8,0.10393579359407779,27,0.8,0.8446765343348185,0.7407407407407407,0.9
emotions,BR_SVM,1,9,0.1381726481697776,22,0.9,0.9563544663515958,0.8181818181818182,1.0
emotions,BR_SVM,2,0,0.02348108524193733,168,0.0,0.041338228099080186,0.017857142857142856,0.1
emotions,BR_SVM,2,1,0.05291599573997349,130,0.1,0.1529159957399735,0.1,0.2
emotions,BR_SVM,2,2,0.01980422728229314,128,0.2,0.25417922728229314,0.234375,0.3
emotions,BR_SVM,2,3,0.08933541178703308,87,0.3,0.34744619740836924,0.4367816091954023,0.4
emotions,BR_SVM,2,4,0.05143218646284009,61,0.4,0.4403710922256845,0.4918032786885246,0.5
emotions,BR_SVM,2,5,0.13988383520733216,44,0.5,0.5419343466108496,0.6818181818181818,0.6
emotions,BR_SVM,2,6,0.08980781746947242,46,0.6,0.6493226173131362,0.7391304347826086,0.7
emotions,BR_SVM,2,7,0.08066695928573608,21,0.7,0.7473336259524027,0.6666666666666666,0.8
emotions,BR_SVM,2,8,0.1486539165178935,15,0.8,0.8513460834821065,1.0,0.9
emotions,BR_SVM,2,9,0.019376839910234644,14,0.9,0.9479482684816632,0.9285714285714286,1.0
emotions,BR_SVM,3,0,0.016869030226815948,172,0.0,0.04127050465690498,0.05813953488372093,0.1
emotions,BR_SVM,3,1,0.026785776734352118,125,0.1,0.1467857767343521,0.12,0.2
emotions,BR_SVM,3,2,0.08699447655480752,121,0.2,0.25228373275315463,0.1652892561983471,0.3
emotions,BR_SVM,3,3,0.06266974560592486,92,0.3,0.34527844125809876,0.2826086956521739,0.4
emotions,BR_SVM,3,4,0.020269447681950603,51,0.4,0.45031878761216704,0.47058823529411764,0.5
emotions,BR_SVM,3,5,0.03976994853908733,59,0.5,0.5482445248102737,0.5084745762711864,0.6
emotions,BR_SVM,3,6,0.1046269390641189,41,0.6,0.6514706219114909,0.7560975609756098,0.7
emotions,BR_SVM,3,7,0.012226228306933207,41,0.7,0.7438713326686766,0.7560975609756098,0.8
emotions,BR_SVM,3,8,0.062025652690367195,22,0.8,0.8470652564005419,0.9090909090909091,0.9
emotions,BR_SVM,3,9,0.08233480368341728,14,0.9,0.9394776608262744,0.8571428571428571,1.0
emotions,BR_SVM,4,0,0.008109004042267366,180,0.0,0.0414423373756007,0.03333333333333333,0.1
emotions,BR_SVM,4,1,0.06890522194179621,110,0.1,0.15072340375997803,0.08181818181818182,0.2
