Dataset,Model,Cost,Fold,AABS,ABS,AURC,Abstained Position Count,Coverage,Decided Position Count,Error Capture Rate,Errors Avoided,Full Error Count,Generalized Loss,Optimistic Hamming Accuracy,Optimistic Instance Jaccard,Optimistic Instance-F1,Optimistic Macro-F1,Optimistic Micro-F1,Oracle Gain Hamming Accuracy,Oracle Gain Instance Jaccard,Oracle Gain Instance-F1,Oracle Gain Macro-F1,Oracle Gain Micro-F1,Rejected Counterfactual Macro-F1,Rejected Error Count,Rejected Error Rate,Rejected Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Macro-F1,Selective Micro-F1,Total Position Count
emotions,MLC_PA_SVM,0.20,1,0.5,0.9754098360655737,0.09869910183307241,366,0.5,366,0.717391304347826,99,138,0.15327868852459015,0.9467213114754098,0.8401639344262295,0.8745901639344262,0.9040998089092463,0.9086651053864169,0.13524590163934425,0.31420765027322395,0.28551912568306015,0.3064971965184984,0.26617805875429257,0.574497654336364,99,0.27049180327868855,366,0.10655737704918032,0.8934426229508197,0.4707258341933265,0.6608695652173913,732
emotions,MLC_PA_SVM,0.20,2,0.542016806722689,1.0,0.08167872796655715,387,0.4579831932773109,327,0.8851351351351351,131,148,0.1322128851540616,0.9761904761904762,0.9341736694677872,0.9518207282913164,0.9589860741253929,0.96,0.1834733893557423,0.488795518207283,0.43865546218487383,0.411689329195268,0.37111111111111106,0.5054047903510269,131,0.3385012919896641,387,0.05198776758409786,0.9480122324159022,0.4655555555555555,0.7671232876712328,714
emotions,MLC_PA_SVM,0.20,3,0.5487804878048781,1.0,0.09667829602159318,405,0.45121951219512196,333,0.8040540540540541,119,148,0.14905149051490515,0.9607046070460704,0.8739837398373985,0.8997289972899729,0.9203204013301889,0.9304556354916067,0.1612466124661246,0.3875338753387535,0.3368563685636856,0.3448715974791591,0.3041930092289804,0.5674060870139302,119,0.2938271604938272,405,0.08708708708708708,0.9129129129129129,0.6101145231580014,0.6881720430107527,738
emotions,MLC_PA_SVM,0.20,4,0.5458333333333333,1.0,0.08864818952113279,393,0.45416666666666666,327,0.8581081081081081,127,148,0.13833333333333334,0.9708333333333333,0.9125,0.9363888888888889,0.9490736038766315,0.9519450800915332,0.17638888888888882,0.44930555555555557,0.3930555555555556,0.37113332489252715,0.33736174675819985,0.517127740258169,127,0.3231552162849873,393,0.06422018348623854,0.9357798165137614,0.5255541657980682,0.7469879518072289,720
emotions,MLC_PA_SVM,0.20,5,0.5458715596330275,1.0,0.0954592700204653,357,0.4541284403669725,297,0.823943661971831,117,142,0.14740061162079512,0.9617737003058104,0.9097859327217126,0.9363914373088684,0.9374388683623757,0.9419953596287703,0.17889908256880738,0.46024464831804285,0.4039755351681956,0.37256964389485747,0.3257791434125541,0.5293118787971225,117,0.3277310924369748,357,0.08417508417508418,0.9158249158249159,0.4923395445134575,0.7126436781609196,654
emotions,MLC_PA_SVM,0.25,1,0.41939890710382516,0.9508196721311475,0.09869910183307241,307,0.5806010928961749,425,0.644927536231884,89,138,0.1717896174863388,0.9330601092896175,0.8060109289617486,0.846448087431694,0.8788471308888731,0.8841607565011821,0.12158469945355188,0.2800546448087431,0.2573770491803279,0.28124451849812515,0.24167370986905778,0.5684663254184945,89,0.2899022801302932,307,0.11529411764705882,0.8847058823529412,0.5372436467512868,0.6711409395973155,732
emotions,MLC_PA_SVM,0.25,2,0.4495798319327731,0.957983193277311,0.08167872796655715,321,0.5504201680672269,393,0.7837837837837838,116,148,0.15721288515406162,0.9551820728291317,0.8725490196078433,0.8997198879551821,0.9228174538555041,0.9234449760765551,0.16246498599439785,0.42717086834733903,0.38655462184873957,0.37552070892537914,0.33455608718766616,0.5167086688384862,116,0.3613707165109034,321,0.08142493638676845,0.9185750636132315,0.5030377668308702,0.673469387755102,714
emotions,MLC_PA_SVM,0.25,3,0.44579945799457993,0.975609756097561,0.09667829602159318,329,0.55420054200542,409,0.7297297297297297,108,148,0.16565040650406504,0.94579945799458,0.8306233062330624,0.8661246612466125,0.8881813808920307,0.9029126213592233,0.14634146341463417,0.34417344173441733,0.3032520325203252,0.3127325770410009,0.27664999509659705,0.5262217670819821,108,0.3282674772036474,329,0.097799511002445,0.902200488997555,0.6525210084033614,0.7058823529411765,738
emotions,MLC_PA_SVM,0.25,4,0.44583333333333336,0.9916666666666667,0.08864818952113279,321,0.5541666666666667,399,0.7635135135135135,113,148,0.16006944444444443,0.9513888888888888,0.8597222222222222,0.8980555555555555,0.91205900059181,0.9180327868852459,0.15694444444444433,0.39652777777777776,0.35472222222222216,0.3341187216077056,0.30344945355191255,0.5285529715762273,113,0.35202492211838005,321,0.08771929824561403,0.9122807017543859,0.5483666660137249,0.6902654867256637,720
emotions,MLC_PA_SVM,0.25,5,0.43577981651376146,0.9724770642201835,0.0954592700204653,285,0.5642201834862385,369,0.7394366197183099,105,142,0.16551987767584098,0.9434250764525994,0.8639143730886849,0.9021406727828746,0.9067565910926504,0.9129411764705883,0.16055045871559637,0.41437308868501516,0.36972477064220177,0.3418873666251322,0.296724960254372,0.5425,105,0.3684210526315789,285,0.1002710027100271,0.8997289972899729,0.5307728219492925,0.6890756302521008,654
