Dataset,Model,Fold,Scope,Label Index,Label Name,Brier Score,ECE,Log Loss
emotions,BR_Logistic,1,Aggregate,,,0.1447056820566005,0.04869095189517996,0.4517926240234186
emotions,BR_Logistic,2,Aggregate,,,0.1397123354805463,0.04364767882380118,0.42958329112871185
emotions,BR_Logistic,3,Aggregate,,,0.1440898618330251,0.028155903310435347,0.44588941912090657
emotions,BR_Logistic,4,Aggregate,,,0.1380764849538708,0.054579807909532166,0.4304320057584839
emotions,BR_Logistic,5,Aggregate,,,0.14423604922771105,0.05521165990224038,0.4415422582260316
emotions,BR_Logistic,1,Per Label,0,amazed-suprised,0.13730671588904308,0.0641039941745207,0.4330785610014311
emotions,BR_Logistic,1,Per Label,1,happy-pleased,0.19624116385670448,0.06990935632073486,0.576814325503414
emotions,BR_Logistic,1,Per Label,2,relaxing-calm,0.19217468125282547,0.10412851942428311,0.586606460626568
emotions,BR_Logistic,1,Per Label,3,quiet-still,0.07572118855242288,0.06088106592660999,0.2641796659009957
emotions,BR_Logistic,1,Per Label,4,sad-lonely,0.1384497471352831,0.08890714420036214,0.45025520693716
emotions,BR_Logistic,1,Per Label,5,angry-aggresive,0.1283405956533239,0.09828840080512027,0.3998215241709425
emotions,BR_Logistic,2,Per Label,0,amazed-suprised,0.16117854957978645,0.09984650918353002,0.48158546631220683
emotions,BR_Logistic,2,Per Label,1,happy-pleased,0.17100150192918204,0.07831290764968936,0.514614676012005
emotions,BR_Logistic,2,Per Label,2,relaxing-calm,0.1926845267028752,0.10564339423098233,0.5610576959713824
emotions,BR_Logistic,2,Per Label,3,quiet-still,0.05103207421707167,0.10302596738925908,0.18988667819502444
emotions,BR_Logistic,2,Per Label,4,sad-lonely,0.14170508271664117,0.056550271061695176,0.4481383425886852
emotions,BR_Logistic,2,Per Label,5,angry-aggresive,0.12067227773772121,0.08502783327159949,0.38221688769296736
emotions,BR_Logistic,3,Per Label,0,amazed-suprised,0.1292383552995599,0.09713690753314431,0.40828570460716035
emotions,BR_Logistic,3,Per Label,1,happy-pleased,0.21224374460028003,0.09917759910468163,0.6158620161406705
emotions,BR_Logistic,3,Per Label,2,relaxing-calm,0.14580126575490882,0.07306218875678089,0.44664341339772134
emotions,BR_Logistic,3,Per Label,3,quiet-still,0.08773407671205886,0.06563455591468828,0.2784156005124944
emotions,BR_Logistic,3,Per Label,4,sad-lonely,0.14219170989569724,0.11522179789844961,0.4534881554685086
emotions,BR_Logistic,3,Per Label,5,angry-aggresive,0.1473300187356458,0.06568636443859678,0.4726416245988836
emotions,BR_Logistic,4,Per Label,0,amazed-suprised,0.13792728389134837,0.09582976684129486,0.430932142008543
emotions,BR_Logistic,4,Per Label,1,happy-pleased,0.1732326154699018,0.08893187769378223,0.522389576488352
emotions,BR_Logistic,4,Per Label,2,relaxing-calm,0.18009929058355706,0.08485986387822773,0.5357654619323305
emotions,BR_Logistic,4,Per Label,3,quiet-still,0.07091689885003995,0.05081966659490718,0.2399509820899154
emotions,BR_Logistic,4,Per Label,4,sad-lonely,0.13487190430000892,0.10187650434672832,0.4253556931025693
emotions,BR_Logistic,4,Per Label,5,angry-aggresive,0.1314109166283685,0.0990304765116889,0.428198178929193
emotions,BR_Logistic,5,Per Label,0,amazed-suprised,0.15893031863385462,0.09279520544778863,0.4953429484265358
emotions,BR_Logistic,5,Per Label,1,happy-pleased,0.19515355290093545,0.1242409260140373,0.5646965720648681
emotions,BR_Logistic,5,Per Label,2,relaxing-calm,0.1551867829629628,0.13256333430015713,0.47817733870044515
emotions,BR_Logistic,5,Per Label,3,quiet-still,0.07990359785299903,0.04463245575433734,0.26520799777334797
emotions,BR_Logistic,5,Per Label,4,sad-lonely,0.13385705698751055,0.07819994060544792,0.4152516960801141
emotions,BR_Logistic,5,Per Label,5,angry-aggresive,0.142384986028004,0.08301859503342779,0.4305769963108784
emotions,CC_Logistic,1,Aggregate,,,0.15549783730606134,0.06045619489684656,0.4792772747361081
emotions,CC_Logistic,2,Aggregate,,,0.14975790610530437,0.03930228918789228,0.4547689318386866
emotions,CC_Logistic,3,Aggregate,,,0.16150938952793967,0.054197289810532304,0.49381398072274973
emotions,CC_Logistic,4,Aggregate,,,0.14961437526368473,0.07252462987142837,0.46546541429478416
emotions,CC_Logistic,5,Aggregate,,,0.15348673317876474,0.02518569108107024,0.4679286549864189
emotions,CC_Logistic,1,Per Label,0,amazed-suprised,0.13730671588904308,0.0641039941745207,0.4330785610014311
emotions,CC_Logistic,1,Per Label,1,happy-pleased,0.1955145965694785,0.08198111092091584,0.5751855979496322
emotions,CC_Logistic,1,Per Label,2,relaxing-calm,0.1849895740933199,0.0867068876939841,0.5501339795100482
emotions,CC_Logistic,1,Per Label,3,quiet-still,0.08421699892757965,0.06847526970308476,0.27835714982929116
emotions,CC_Logistic,1,Per Label,4,sad-lonely,0.1618233018354952,0.1411377832056863,0.5315078797369112
emotions,CC_Logistic,1,Per Label,5,angry-aggresive,0.1691358365214517,0.16581358646207725,0.5074004803893348
emotions,CC_Logistic,2,Per Label,0,amazed-suprised,0.16117854957978645,0.09984650918353002,0.48158546631220683
emotions,CC_Logistic,2,Per Label,1,happy-pleased,0.1717181505238951,0.07326909143696811,0.5162083719920189
emotions,CC_Logistic,2,Per Label,2,relaxing-calm,0.19397238862949948,0.0922941319476187,0.5752622065990162
emotions,CC_Logistic,2,Per Label,3,quiet-still,0.06377506706984834,0.09128614309223804,0.2181605941306214
emotions,CC_Logistic,2,Per Label,4,sad-lonely,0.15653500939431358,0.09174437879216897,0.4936152730109323
emotions,CC_Logistic,2,Per Label,5,angry-aggresive,0.15136827143448336,0.12215075013637415,0.4437816789873245
emotions,CC_Logistic,3,Per Label,0,amazed-suprised,0.1292383552995599,0.09713690753314431,0.40828570460716035
emotions,CC_Logistic,3,Per Label,1,happy-pleased,0.2127990088612909,0.09924792262112221,0.6174053603241751
emotions,CC_Logistic,3,Per Label,2,relaxing-calm,0.1470263961989605,0.06100351239433434,0.4396325247776848
emotions,CC_Logistic,3,Per Label,3,quiet-still,0.09125025008726179,0.06517225958102459,0.28881665293937553
emotions,CC_Logistic,3,Per Label,4,sad-lonely,0.1588735924177466,0.1323689015951799,0.4865921015277864
emotions,CC_Logistic,3,Per Label,5,angry-aggresive,0.22986873430281834,0.22046593697687208,0.7221515401603165
emotions,CC_Logistic,4,Per Label,0,amazed-suprised,0.13792728389134837,0.09582976684129486,0.430932142008543
emotions,CC_Logistic,4,Per Label,1,happy-pleased,0.17337858571361214,0.09585577026009559,0.5227485523365696
emotions,CC_Logistic,4,Per Label,2,relaxing-calm,0.18984729838745176,0.1330942429757367,0.5525270823098414
emotions,CC_Logistic,4,Per Label,3,quiet-still,0.08620675182099412,0.07053917108731488,0.2773707023106816
emotions,CC_Logistic,4,Per Label,4,sad-lonely,0.15153290903370595,0.09545954708398009,0.4796010627084598
emotions,CC_Logistic,4,Per Label,5,angry-aggresive,0.15879342273499616,0.12914606144416516,0.5296129440946094
emotions,CC_Logistic,5,Per Label,0,amazed-suprised,0.15893031863385462,0.09279520544778863,0.4953429484265358
emotions,CC_Logistic,5,Per Label,1,happy-pleased,0.1937365245073872,0.11110390476677395,0.5615355255885028
emotions,CC_Logistic,5,Per Label,2,relaxing-calm,0.14769541528360347,0.10580975279412788,0.45567824909776944
emotions,CC_Logistic,5,Per Label,3,quiet-still,0.09119175993195365,0.07931558734928514,0.2879524949840202
emotions,CC_Logistic,5,Per Label,4,sad-lonely,0.17011702687907013,0.1294970399520676,0.524265800511179
emotions,CC_Logistic,5,Per Label,5,angry-aggresive,0.15924935383671948,0.10844507915437235,0.4827969113105063
emotions,MLC_PA_Logistic,1,Aggregate,,,0.1447056820566005,0.04869095189517996,0.4517926240234186
emotions,MLC_PA_Logistic,2,Aggregate,,,0.1397123354805463,0.04364767882380118,0.42958329112871185
emotions,MLC_PA_Logistic,3,Aggregate,,,0.1440898618330251,0.028155903310435347,0.44588941912090657
emotions,MLC_PA_Logistic,4,Aggregate,,,0.1380764849538708,0.054579807909532166,0.4304320057584839
emotions,MLC_PA_Logistic,5,Aggregate,,,0.14423604922771105,0.05521165990224038,0.4415422582260316
emotions,MLC_PA_Logistic,1,Per Label,0,amazed-suprised,0.13730671588904308,0.0641039941745207,0.4330785610014311
emotions,MLC_PA_Logistic,1,Per Label,1,happy-pleased,0.19624116385670448,0.06990935632073486,0.576814325503414
emotions,MLC_PA_Logistic,1,Per Label,2,relaxing-calm,0.19217468125282547,0.10412851942428311,0.586606460626568
emotions,MLC_PA_Logistic,1,Per Label,3,quiet-still,0.07572118855242288,0.06088106592660999,0.2641796659009957
emotions,MLC_PA_Logistic,1,Per Label,4,sad-lonely,0.1384497471352831,0.08890714420036214,0.45025520693716
emotions,MLC_PA_Logistic,1,Per Label,5,angry-aggresive,0.1283405956533239,0.09828840080512027,0.3998215241709425
emotions,MLC_PA_Logistic,2,Per Label,0,amazed-suprised,0.16117854957978645,0.09984650918353002,0.48158546631220683
emotions,MLC_PA_Logistic,2,Per Label,1,happy-pleased,0.17100150192918204,0.07831290764968936,0.514614676012005
emotions,MLC_PA_Logistic,2,Per Label,2,relaxing-calm,0.1926845267028752,0.10564339423098233,0.5610576959713824
emotions,MLC_PA_Logistic,2,Per Label,3,quiet-still,0.05103207421707167,0.10302596738925908,0.18988667819502444
emotions,MLC_PA_Logistic,2,Per Label,4,sad-lonely,0.14170508271664117,0.056550271061695176,0.4481383425886852
emotions,MLC_PA_Logistic,2,Per Label,5,angry-aggresive,0.12067227773772121,0.08502783327159949,0.38221688769296736
emotions,MLC_PA_Logistic,3,Per Label,0,amazed-suprised,0.1292383552995599,0.09713690753314431,0.40828570460716035
emotions,MLC_PA_Logistic,3,Per Label,1,happy-pleased,0.21224374460028003,0.09917759910468163,0.6158620161406705
emotions,MLC_PA_Logistic,3,Per Label,2,relaxing-calm,0.14580126575490882,0.07306218875678089,0.44664341339772134
emotions,MLC_PA_Logistic,3,Per Label,3,quiet-still,0.08773407671205886,0.06563455591468828,0.2784156005124944
emotions,MLC_PA_Logistic,3,Per Label,4,sad-lonely,0.14219170989569724,0.11522179789844961,0.4534881554685086
emotions,MLC_PA_Logistic,3,Per Label,5,angry-aggresive,0.1473300187356458,0.06568636443859678,0.4726416245988836
emotions,MLC_PA_Logistic,4,Per Label,0,amazed-suprised,0.13792728389134837,0.09582976684129486,0.430932142008543
emotions,MLC_PA_Logistic,4,Per Label,1,happy-pleased,0.1732326154699018,0.08893187769378223,0.522389576488352
emotions,MLC_PA_Logistic,4,Per Label,2,relaxing-calm,0.18009929058355706,0.08485986387822773,0.5357654619323305
emotions,MLC_PA_Logistic,4,Per Label,3,quiet-still,0.07091689885003995,0.05081966659490718,0.2399509820899154
emotions,MLC_PA_Logistic,4,Per Label,4,sad-lonely,0.13487190430000892,0.10187650434672832,0.4253556931025693
emotions,MLC_PA_Logistic,4,Per Label,5,angry-aggresive,0.1314109166283685,0.0990304765116889,0.428198178929193
emotions,MLC_PA_Logistic,5,Per Label,0,amazed-suprised,0.15893031863385462,0.09279520544778863,0.4953429484265358
emotions,MLC_PA_Logistic,5,Per Label,1,happy-pleased,0.19515355290093545,0.1242409260140373,0.5646965720648681
emotions,MLC_PA_Logistic,5,Per Label,2,relaxing-calm,0.1551867829629628,0.13256333430015713,0.47817733870044515
emotions,MLC_PA_Logistic,5,Per Label,3,quiet-still,0.07990359785299903,0.04463245575433734,0.26520799777334797
emotions,MLC_PA_Logistic,5,Per Label,4,sad-lonely,0.13385705698751055,0.07819994060544792,0.4152516960801141
emotions,MLC_PA_Logistic,5,Per Label,5,angry-aggresive,0.142384986028004,0.08301859503342779,0.4305769963108784
emotions,GSI_MLC_PA_Logistic,1,Aggregate,,,0.14279258385501237,0.0361414302633535,0.4473327710605934
emotions,GSI_MLC_PA_Logistic,2,Aggregate,,,0.13687805129182468,0.04854072756020441,0.4206842024994456
emotions,GSI_MLC_PA_Logistic,3,Aggregate,,,0.14136536254198934,0.02389809242106595,0.43917388992793577
emotions,GSI_MLC_PA_Logistic,4,Aggregate,,,0.13639039702353972,0.053329590065448594,0.42222620520123394
emotions,GSI_MLC_PA_Logistic,5,Aggregate,,,0.14636550045879834,0.06308299139438332,0.4494432991576338
emotions,GSI_MLC_PA_Logistic,1,Per Label,0,amazed-suprised,0.13727030587707623,0.05965523753423115,0.43674923213820716
emotions,GSI_MLC_PA_Logistic,1,Per Label,1,happy-pleased,0.18759253536954132,0.09752613062723903,0.5713512005587593
emotions,GSI_MLC_PA_Logistic,1,Per Label,2,relaxing-calm,0.18925022904510574,0.12572644397986316,0.5586406924169081
emotions,GSI_MLC_PA_Logistic,1,Per Label,3,quiet-still,0.07572118855242288,0.06088106592660999,0.2641796659009957
emotions,GSI_MLC_PA_Logistic,1,Per Label,4,sad-lonely,0.13858064863260416,0.05084030168119456,0.4532543111777478
emotions,GSI_MLC_PA_Logistic,1,Per Label,5,angry-aggresive,0.1283405956533239,0.09828840080512027,0.3998215241709425
emotions,GSI_MLC_PA_Logistic,2,Per Label,0,amazed-suprised,0.1633107760422608,0.08336133575398948,0.47396525687745966
emotions,GSI_MLC_PA_Logistic,2,Per Label,1,happy-pleased,0.1546135083765843,0.0684921181066641,0.47821323889900774
emotions,GSI_MLC_PA_Logistic,2,Per Label,2,relaxing-calm,0.1926845267028752,0.10564339423098233,0.5610576959713824
emotions,GSI_MLC_PA_Logistic,2,Per Label,3,quiet-still,0.05103207421707167,0.10302596738925908,0.18988667819502444
emotions,GSI_MLC_PA_Logistic,2,Per Label,4,sad-lonely,0.13895514467443482,0.03632725600305254,0.4387654573608319
emotions,GSI_MLC_PA_Logistic,2,Per Label,5,angry-aggresive,0.12067227773772121,0.08502783327159949,0.38221688769296736
emotions,GSI_MLC_PA_Logistic,3,Per Label,0,amazed-suprised,0.13091425347002456,0.08664626112391825,0.41188325836994566
emotions,GSI_MLC_PA_Logistic,3,Per Label,1,happy-pleased,0.19429231854219273,0.09855817469689974,0.5773391967859456
emotions,GSI_MLC_PA_Logistic,3,Per Label,2,relaxing-calm,0.14580126575490882,0.07306218875678089,0.44664341339772134
emotions,GSI_MLC_PA_Logistic,3,Per Label,3,quiet-still,0.08773407671205886,0.06563455591468828,0.2784156005124944
emotions,GSI_MLC_PA_Logistic,3,Per Label,4,sad-lonely,0.14219170989569724,0.11522179789844961,0.4534881554685086
emotions,GSI_MLC_PA_Logistic,3,Per Label,5,angry-aggresive,0.1472585508770537,0.06362840873936512,0.4672737150329989
emotions,GSI_MLC_PA_Logistic,4,Per Label,0,amazed-suprised,0.1403554545154026,0.08277136443745996,0.42547428127872594
emotions,GSI_MLC_PA_Logistic,4,Per Label,1,happy-pleased,0.159257296004146,0.128723891637212,0.4776592855187795
emotions,GSI_MLC_PA_Logistic,4,Per Label,2,relaxing-calm,0.18009929058355706,0.08485986387822773,0.5357654619323305
emotions,GSI_MLC_PA_Logistic,4,Per Label,3,quiet-still,0.07234752010975516,0.045522204137259416,0.2409043304458055
emotions,GSI_MLC_PA_Logistic,4,Per Label,4,sad-lonely,0.13487190430000892,0.10187650434672832,0.4253556931025693
emotions,GSI_MLC_PA_Logistic,4,Per Label,5,angry-aggresive,0.1314109166283685,0.0990304765116889,0.428198178929193
emotions,GSI_MLC_PA_Logistic,5,Per Label,0,amazed-suprised,0.16327206215121384,0.09145900395262507,0.5144487621558684
emotions,GSI_MLC_PA_Logistic,5,Per Label,1,happy-pleased,0.20264816234032337,0.12382384755045354,0.5998143904725698
emotions,GSI_MLC_PA_Logistic,5,Per Label,2,relaxing-calm,0.1533690834507629,0.13210138724879392,0.46474276922489477
emotions,GSI_MLC_PA_Logistic,5,Per Label,3,quiet-still,0.08266165179497535,0.06940582077538862,0.2718251807014777
emotions,GSI_MLC_PA_Logistic,5,Per Label,4,sad-lonely,0.13385705698751055,0.07819994060544792,0.4152516960801141
emotions,GSI_MLC_PA_Logistic,5,Per Label,5,angry-aggresive,0.142384986028004,0.08301859503342779,0.4305769963108784
music,BR_Logistic,1,Aggregate,,,0.13586488871412938,0.05643801077208935,0.42335914148461357
music,BR_Logistic,2,Aggregate,,,0.1479656697383185,0.03475597119137466,0.4493999604206552
music,BR_Logistic,3,Aggregate,,,0.13546313232067664,0.03757362861865068,0.4223463294554198
music,BR_Logistic,4,Aggregate,,,0.13606238192190273,0.0544326954582952,0.4292218695102716
music,BR_Logistic,5,Aggregate,,,0.14046009324981476,0.03103763563696794,0.43878832828059733
music,BR_Logistic,1,Per Label,0,amazed-suprised,0.127028348131262,0.0744085451079329,0.4042153563705829
