Dataset,Model,Cost,Fold,Scope,Reviewer Accuracy,AURC,Captured Error Count,Cost-Sensitive Utility,Coverage,Error Capture Lift,Error Capture Rate,Full Error Count,Generalized Loss,Immediate Hamming Accuracy,Immediate Instance-F1,Immediate Macro-F1,Optimistic Gain Hamming Accuracy,Optimistic Gain Macro-F1,Optimistic Hamming Accuracy,Optimistic Macro-F1,Random-Rejection Expected Capture,Rejected Error Rate,Review Load Case,Review Load Position,Reviewed Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Risk
emotions,MLC_PA_MLP,0.20,1,Operating Point,,0.18041669886265319,217,,0.001366120218579235,1.0013679890560876,1.0,217,0.19972677595628405,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.29644808743169393,0.38157417161594454,1.0,1.0,0.9986338797814208,0.2968536251709986,1.0,0.9986338797814208,731,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.20,2,Operating Point,,0.14952307989235247,187,,0.0,1.0,1.0,187,0.19999999999999984,0.7380952380952381,0.619607843137255,0.6464928858477245,0.26190476190476186,0.35350711415227554,1.0,1.0,1.0,0.2619047619047619,1.0,1.0,714,,,
emotions,MLC_PA_MLP,0.20,3,Operating Point,,0.15153367508051271,197,,0.0,1.0,1.0,197,0.19999999999999993,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.26693766937669383,0.3795163732220208,1.0,1.0,1.0,0.2669376693766938,1.0,1.0,738,,,
emotions,MLC_PA_MLP,0.20,4,Operating Point,,0.1445517228493241,178,,0.0,1.0,1.0,178,0.19999999999999996,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.24722222222222223,0.3170375927408494,1.0,1.0,1.0,0.24722222222222223,1.0,1.0,720,,,
emotions,MLC_PA_MLP,0.20,5,Operating Point,,0.1503124663314044,164,,0.0,1.0,1.0,164,0.19999999999999993,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.25076452599388377,0.30793359037719936,1.0,1.0,1.0,0.25076452599388377,1.0,1.0,654,,,
emotions,MLC_PA_MLP,0.25,1,Operating Point,,0.18041669886265319,217,,0.00273224043715847,1.0027397260273974,1.0,217,0.24931693989071038,0.7035519125683061,0.6032006245120999,0.6184258283840555,0.29644808743169393,0.38157417161594454,1.0,1.0,0.9972677595628415,0.29726027397260274,1.0,0.9972677595628415,730,0.0,1.0,0.0
emotions,MLC_PA_MLP,0.25,2,Operating Point,,0.14952307989235247,187,,0.0,1.0,1.0,187,0.25,0.7380952380952381,0.619607843137255,0.6464928858477245,0.26190476190476186,0.35350711415227554,1.0,1.0,1.0,0.2619047619047619,1.0,1.0,714,,,
emotions,MLC_PA_MLP,0.25,3,Operating Point,,0.15153367508051271,197,,0.0,1.0,1.0,197,0.25,0.7330623306233062,0.6139372822299652,0.6204836267779792,0.26693766937669383,0.3795163732220208,1.0,1.0,1.0,0.2669376693766938,1.0,1.0,738,,,
emotions,MLC_PA_MLP,0.25,4,Operating Point,,0.1445517228493241,178,,0.0,1.0,1.0,178,0.25,0.7527777777777778,0.6678174603174604,0.6829624072591506,0.24722222222222223,0.3170375927408494,1.0,1.0,1.0,0.24722222222222223,1.0,1.0,720,,,
emotions,MLC_PA_MLP,0.25,5,Operating Point,,0.1503124663314044,164,,0.00764525993883792,1.007704160246533,1.0,164,0.24808868501529052,0.7492354740061162,0.6805591961555265,0.6920664096228006,0.25076452599388377,0.30793359037719936,1.0,1.0,0.9923547400611621,0.2526964560862866,1.0,0.9923547400611621,649,0.0,1.0,0.0
