Dataset,Model,Cost,Fold,Group,DL Coverage,DL Full Instance Jaccard,DL Full Macro Precision,DL Full Macro Recall,DL Full Macro-F1,DL Label Count,IL Coverage,IL Full Instance Jaccard,IL Full Macro Precision,IL Full Macro Recall,IL Full Macro-F1,IL Label Count
emotions,GSI_MLC_PA_MLP,,1,DL,1.0,0.6256830601092895,0.581512802443035,0.7639043038599088,0.6596830513027129,3,,,,,,
emotions,GSI_MLC_PA_MLP,,1,IL,,,,,,,1.0,0.5560109289617488,0.5297075351879882,0.7192044281827563,0.5981519044399369,3
emotions,GSI_MLC_PA_MLP,,2,DL,1.0,0.5299719887955182,0.6025569358178053,0.6863598470495021,0.6389863204072064,5,,,,,,
emotions,GSI_MLC_PA_MLP,,2,IL,,,,,,,1.0,0.8319327731092437,0.6956521739130435,0.8421052631578947,0.7619047619047619,1
emotions,GSI_MLC_PA_MLP,,3,DL,1.0,0.513550135501355,0.5027764493331208,0.5647448111951155,0.52,3,,,,,,
emotions,GSI_MLC_PA_MLP,,3,IL,,,,,,,1.0,0.5663956639566395,0.561349837901562,0.8397385378517455,0.6713766102811046,3
emotions,GSI_MLC_PA_MLP,,4,DL,1.0,0.85,0.6875,0.7333333333333333,0.7096774193548387,1,,,,,,
emotions,GSI_MLC_PA_MLP,,4,IL,,,,,,,1.0,0.5509722222222222,0.5777245860748291,0.8334827382248375,0.6727194456730061,5
emotions,GSI_MLC_PA_MLP,,5,DL,1.0,0.46483180428134563,0.5666184292866082,0.6091036414565827,0.5694555632236792,4,,,,,,
emotions,GSI_MLC_PA_MLP,,5,IL,,,,,,,1.0,0.7064220183486238,0.7047633776678008,0.8870407149950348,0.78368999421631,2
emotions,GSI_MLC_PA_MLP,0.20,1,DL,0.21311475409836064,0.6256830601092895,0.581512802443035,0.7639043038599088,0.6596830513027129,3,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,1,IL,,,,,,,0.14207650273224043,0.5560109289617488,0.5297075351879882,0.7192044281827563,0.5981519044399369,3
emotions,GSI_MLC_PA_MLP,0.20,2,DL,0.24705882352941178,0.5299719887955182,0.6025569358178053,0.6863598470495021,0.6389863204072064,5,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,2,IL,,,,,,,0.2689075630252101,0.8319327731092437,0.6956521739130435,0.8421052631578947,0.7619047619047619,1
emotions,GSI_MLC_PA_MLP,0.20,3,DL,0.2140921409214092,0.513550135501355,0.5027764493331208,0.5647448111951155,0.52,3,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,3,IL,,,,,,,0.37398373983739835,0.5663956639566395,0.561349837901562,0.8397385378517455,0.6713766102811046,3
emotions,GSI_MLC_PA_MLP,0.20,4,DL,0.6,0.85,0.6875,0.7333333333333333,0.7096774193548387,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,4,IL,,,,,,,0.24833333333333332,0.5509722222222222,0.5777245860748291,0.8334827382248375,0.6727194456730061,5
emotions,GSI_MLC_PA_MLP,0.20,5,DL,0.3463302752293578,0.46483180428134563,0.5666184292866082,0.6091036414565827,0.5694555632236792,4,,,,,,
emotions,GSI_MLC_PA_MLP,0.20,5,IL,,,,,,,0.22477064220183487,0.7064220183486238,0.7047633776678008,0.8870407149950348,0.78368999421631,2
emotions,GSI_MLC_PA_MLP,0.25,1,DL,0.21311475409836064,0.6256830601092895,0.581512802443035,0.7639043038599088,0.6596830513027129,3,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,1,IL,,,,,,,0.14207650273224043,0.5560109289617488,0.5297075351879882,0.7192044281827563,0.5981519044399369,3
emotions,GSI_MLC_PA_MLP,0.25,2,DL,0.24705882352941178,0.5299719887955182,0.6025569358178053,0.6863598470495021,0.6389863204072064,5,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,2,IL,,,,,,,0.2689075630252101,0.8319327731092437,0.6956521739130435,0.8421052631578947,0.7619047619047619,1
emotions,GSI_MLC_PA_MLP,0.25,3,DL,0.2140921409214092,0.513550135501355,0.5027764493331208,0.5647448111951155,0.52,3,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,3,IL,,,,,,,0.37398373983739835,0.5663956639566395,0.561349837901562,0.8397385378517455,0.6713766102811046,3
emotions,GSI_MLC_PA_MLP,0.25,4,DL,0.6,0.85,0.6875,0.7333333333333333,0.7096774193548387,1,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,4,IL,,,,,,,0.24833333333333332,0.5509722222222222,0.5777245860748291,0.8334827382248375,0.6727194456730061,5
emotions,GSI_MLC_PA_MLP,0.25,5,DL,0.3463302752293578,0.46483180428134563,0.5666184292866082,0.6091036414565827,0.5694555632236792,4,,,,,,
emotions,GSI_MLC_PA_MLP,0.25,5,IL,,,,,,,0.22477064220183487,0.7064220183486238,0.7047633776678008,0.8870407149950348,0.78368999421631,2
emotions,GSI_MLC_PA_MLP,0.30,1,DL,0.21311475409836064,0.6256830601092895,0.581512802443035,0.7639043038599088,0.6596830513027129,3,,,,,,
emotions,GSI_MLC_PA_MLP,0.30,1,IL,,,,,,,0.14207650273224043,0.5560109289617488,0.5297075351879882,0.7192044281827563,0.5981519044399369,3
emotions,GSI_MLC_PA_MLP,0.30,2,DL,0.24705882352941178,0.5299719887955182,0.6025569358178053,0.6863598470495021,0.6389863204072064,5,,,,,,
