Dataset,Model,Fold,Bin,Absolute Gap,Count,Lower Bound,Mean Predicted Probability,Observed Positive Rate,Upper Bound
emotions,BR_MLP,1,0,,0,0.0,,,0.1
emotions,BR_MLP,1,1,,0,0.1,,,0.2
emotions,BR_MLP,1,2,0.2751525491476059,7,0.2,0.2751525491476059,0.0,0.3
emotions,BR_MLP,1,3,0.3179052880122548,84,0.3,0.36552433563130243,0.047619047619047616,0.4
emotions,BR_MLP,1,4,0.32087093498557806,288,0.4,0.45628760165224475,0.13541666666666666,0.5
emotions,BR_MLP,1,5,0.08990769419990241,283,0.5,0.5422045139878883,0.45229681978798586,0.6
emotions,BR_MLP,1,6,0.062305980258517746,63,0.6,0.6361067181541806,0.6984126984126984,0.7
emotions,BR_MLP,1,7,0.285929004351298,6,0.7,0.714070995648702,1.0,0.8
emotions,BR_MLP,1,8,0.16244840621948242,1,0.8,0.8375515937805176,1.0,0.9
emotions,BR_MLP,1,9,,0,0.9,,,1.0
emotions,BR_MLP,2,0,,0,0.0,,,0.1
emotions,BR_MLP,2,1,,0,0.1,,,0.2
emotions,BR_MLP,2,2,0.2877672697816576,7,0.2,0.2877672697816576,0.0,0.3
emotions,BR_MLP,2,3,0.34244895706305634,74,0.3,0.36947598409008336,0.02702702702702703,0.4
emotions,BR_MLP,2,4,0.31548606147989633,320,0.4,0.45611106147989633,0.140625,0.5
emotions,BR_MLP,2,5,0.0669276625502343,255,0.5,0.5414374664718029,0.4745098039215686,0.6
emotions,BR_MLP,2,6,0.252706194823643,53,0.6,0.6340862580065457,0.8867924528301887,0.7
emotions,BR_MLP,2,7,0.2869867324829102,5,0.7,0.7130132675170898,1.0,0.8
emotions,BR_MLP,2,8,,0,0.8,,,0.9
emotions,BR_MLP,2,9,,0,0.9,,,1.0
emotions,BR_MLP,3,0,,0,0.0,,,0.1
emotions,BR_MLP,3,1,,0,0.1,,,0.2
emotions,BR_MLP,3,2,0.26718940734863283,5,0.2,0.26718940734863283,0.0,0.3
emotions,BR_MLP,3,3,0.3549538943916559,96,0.3,0.3653705610583226,0.010416666666666666,0.4
emotions,BR_MLP,3,4,0.3120659439318433,311,0.4,0.4535450436102999,0.1414790996784566,0.5
emotions,BR_MLP,3,5,0.08126706347173573,245,0.5,0.5424915532676541,0.46122448979591835,0.6
emotions,BR_MLP,3,6,0.10831337097363591,78,0.6,0.6352763726161077,0.7435897435897436,0.7
emotions,BR_MLP,3,7,0.2761308948198954,3,0.7,0.7238691051801046,1.0,0.8
emotions,BR_MLP,3,8,,0,0.8,,,0.9
emotions,BR_MLP,3,9,,0,0.9,,,1.0
emotions,BR_MLP,4,0,,0,0.0,,,0.1
emotions,BR_MLP,4,1,,0,0.1,,,0.2
emotions,BR_MLP,4,2,,0,0.2,,,0.3
emotions,BR_MLP,4,3,0.3376810175401193,81,0.3,0.36237237556481067,0.024691358024691357,0.4
emotions,BR_MLP,4,4,0.3568758053692761,302,0.4,0.45621355371364697,0.09933774834437085,0.5
emotions,BR_MLP,4,5,0.02429324666231769,279,0.5,0.5404222789203822,0.5161290322580645,0.6
emotions,BR_MLP,4,6,0.1751097963567365,57,0.6,0.6319077475029126,0.8070175438596491,0.7
emotions,BR_MLP,4,7,0.26865434646606445,1,0.7,0.7313456535339355,1.0,0.8
emotions,BR_MLP,4,8,,0,0.8,,,0.9
emotions,BR_MLP,4,9,,0,0.9,,,1.0
emotions,BR_MLP,5,0,,0,0.0,,,0.1
emotions,BR_MLP,5,1,,0,0.1,,,0.2
emotions,BR_MLP,5,2,0.2785380532344182,3,0.2,0.2785380532344182,0.0,0.3
emotions,BR_MLP,5,3,0.32469850260278454,92,0.3,0.36817676347234973,0.043478260869565216,0.4
emotions,BR_MLP,5,4,0.32294483820106756,243,0.4,0.4546320809994215,0.13168724279835392,0.5
emotions,BR_MLP,5,5,0.009071037477376587,245,0.5,0.543764915028397,0.5346938775510204,0.6
emotions,BR_MLP,5,6,0.1261677260984454,57,0.6,0.6282182388138353,0.7543859649122807,0.7
emotions,BR_MLP,5,7,0.2649500327450889,14,0.7,0.7350499672549111,1.0,0.8
emotions,BR_MLP,5,8,,0,0.8,,,0.9
emotions,BR_MLP,5,9,,0,0.9,,,1.0
emotions,CC_MLP,1,0,,0,0.0,,,0.1
emotions,CC_MLP,1,1,0.1857970729470253,2,0.1,0.1857970729470253,0.0,0.2
emotions,CC_MLP,1,2,0.2405837121463957,42,0.2,0.2643932359559195,0.023809523809523808,0.3
emotions,CC_MLP,1,3,0.27603589737114786,119,0.3,0.3516661494719882,0.07563025210084033,0.4
emotions,CC_MLP,1,4,0.24909437398115794,270,0.4,0.46020548509226905,0.2111111111111111,0.5
emotions,CC_MLP,1,5,0.07878582563596903,194,0.5,0.5427033514091649,0.4639175257731959,0.6
emotions,CC_MLP,1,6,0.03726005867907878,95,0.6,0.6372600586790788,0.6,0.7
emotions,CC_MLP,1,7,0.08265351057052617,10,0.7,0.7173464894294739,0.8,0.8
emotions,CC_MLP,1,8,,0,0.8,,,0.9
emotions,CC_MLP,1,9,,0,0.9,,,1.0
emotions,CC_MLP,2,0,,0,0.0,,,0.1
emotions,CC_MLP,2,1,0.17424775660037994,1,0.1,0.17424775660037994,0.0,0.2
emotions,CC_MLP,2,2,0.22437273790227608,47,0.2,0.2669259293916378,0.0425531914893617,0.3
emotions,CC_MLP,2,3,0.308212781110696,113,0.3,0.3524605687213155,0.04424778761061947,0.4
emotions,CC_MLP,2,4,0.28679942624355714,246,0.4,0.45753113356063035,0.17073170731707318,0.5
emotions,CC_MLP,2,5,0.056179790231916604,225,0.5,0.5450686791208055,0.4888888888888889,0.6
emotions,CC_MLP,2,6,0.07657546122868852,75,0.6,0.6434245387713114,0.72,0.7
emotions,CC_MLP,2,7,0.28809110607419697,7,0.7,0.711908893925803,1.0,0.8
emotions,CC_MLP,2,8,,0,0.8,,,0.9
emotions,CC_MLP,2,9,,0,0.9,,,1.0
emotions,CC_MLP,3,0,,0,0.0,,,0.1
emotions,CC_MLP,3,1,0.18825453519821167,5,0.1,0.18825453519821167,0.0,0.2
emotions,CC_MLP,3,2,0.21527673984351367,46,0.2,0.2587550007130789,0.043478260869565216,0.3
emotions,CC_MLP,3,3,0.3279362819812916,135,0.3,0.3575659116109212,0.02962962962962963,0.4
emotions,CC_MLP,3,4,0.24264650930792597,236,0.4,0.454510916087587,0.211864406779661,0.5
emotions,CC_MLP,3,5,0.10944155320315296,213,0.5,0.5460612715130121,0.43661971830985913,0.6
emotions,CC_MLP,3,6,0.045810051178664324,89,0.6,0.639583207248302,0.6853932584269663,0.7
emotions,CC_MLP,3,7,0.08763270292963299,14,0.7,0.7304898457867759,0.6428571428571429,0.8
emotions,CC_MLP,3,8,,0,0.8,,,0.9
emotions,CC_MLP,3,9,,0,0.9,,,1.0
emotions,CC_MLP,4,0,,0,0.0,,,0.1
emotions,CC_MLP,4,1,0.19559121131896973,1,0.1,0.19559121131896973,0.0,0.2
emotions,CC_MLP,4,2,0.2442362341284752,50,0.2,0.2642362341284752,0.02,0.3
emotions,CC_MLP,4,3,0.2862585715034552,114,0.3,0.3564340100999464,0.07017543859649122,0.4
emotions,CC_MLP,4,4,0.27109623049932813,252,0.4,0.4615724209755186,0.19047619047619047,0.5
emotions,CC_MLP,4,5,0.06665242361910467,213,0.5,0.5455256630557244,0.4788732394366197,0.6
emotions,CC_MLP,4,6,0.09492368499437975,84,0.6,0.6431715531008584,0.7380952380952381,0.7
emotions,CC_MLP,4,7,0.38171761234601337,6,0.7,0.7150509456793467,0.3333333333333333,0.8
emotions,CC_MLP,4,8,,0,0.8,,,0.9
emotions,CC_MLP,4,9,,0,0.9,,,1.0
emotions,CC_MLP,5,0,,0,0.0,,,0.1
emotions,CC_MLP,5,1,0.18767006695270538,2,0.1,0.18767006695270538,0.0,0.2
emotions,CC_MLP,5,2,0.24087491211218712,39,0.2,0.26651593775321275,0.02564102564102564,0.3
emotions,CC_MLP,5,3,0.27645622051897506,126,0.3,0.3558212998840544,0.07936507936507936,0.4
emotions,CC_MLP,5,4,0.2474320628173611,193,0.4,0.4546859488277238,0.20725388601036268,0.5
emotions,CC_MLP,5,5,0.02397142113118933,207,0.5,0.5457105515659719,0.5217391304347826,0.6
emotions,CC_MLP,5,6,0.07797910987514334,73,0.6,0.6343496572481443,0.7123287671232876,0.7
emotions,CC_MLP,5,7,0.2113892010280064,14,0.7,0.7171822275434222,0.9285714285714286,0.8
emotions,CC_MLP,5,8,,0,0.8,,,0.9
emotions,CC_MLP,5,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,1,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,1,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,1,2,0.2751525491476059,7,0.2,0.2751525491476059,0.0,0.3
emotions,MLC_PA_MLP,1,3,0.3179052880122548,84,0.3,0.36552433563130243,0.047619047619047616,0.4
emotions,MLC_PA_MLP,1,4,0.32087093498557806,288,0.4,0.45628760165224475,0.13541666666666666,0.5
emotions,MLC_PA_MLP,1,5,0.08990769419990241,283,0.5,0.5422045139878883,0.45229681978798586,0.6
emotions,MLC_PA_MLP,1,6,0.062305980258517746,63,0.6,0.6361067181541806,0.6984126984126984,0.7
emotions,MLC_PA_MLP,1,7,0.285929004351298,6,0.7,0.714070995648702,1.0,0.8
emotions,MLC_PA_MLP,1,8,0.16244840621948242,1,0.8,0.8375515937805176,1.0,0.9
emotions,MLC_PA_MLP,1,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,2,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,2,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,2,2,0.2877672697816576,7,0.2,0.2877672697816576,0.0,0.3
emotions,MLC_PA_MLP,2,3,0.34244895706305634,74,0.3,0.36947598409008336,0.02702702702702703,0.4
emotions,MLC_PA_MLP,2,4,0.31548606147989633,320,0.4,0.45611106147989633,0.140625,0.5
emotions,MLC_PA_MLP,2,5,0.0669276625502343,255,0.5,0.5414374664718029,0.4745098039215686,0.6
emotions,MLC_PA_MLP,2,6,0.252706194823643,53,0.6,0.6340862580065457,0.8867924528301887,0.7
emotions,MLC_PA_MLP,2,7,0.2869867324829102,5,0.7,0.7130132675170898,1.0,0.8
emotions,MLC_PA_MLP,2,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,2,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,3,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,3,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,3,2,0.26718940734863283,5,0.2,0.26718940734863283,0.0,0.3
emotions,MLC_PA_MLP,3,3,0.3549538943916559,96,0.3,0.3653705610583226,0.010416666666666666,0.4
emotions,MLC_PA_MLP,3,4,0.3120659439318433,311,0.4,0.4535450436102999,0.1414790996784566,0.5
emotions,MLC_PA_MLP,3,5,0.08126706347173573,245,0.5,0.5424915532676541,0.46122448979591835,0.6
emotions,MLC_PA_MLP,3,6,0.10831337097363591,78,0.6,0.6352763726161077,0.7435897435897436,0.7
emotions,MLC_PA_MLP,3,7,0.2761308948198954,3,0.7,0.7238691051801046,1.0,0.8
emotions,MLC_PA_MLP,3,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,3,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,4,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,4,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,4,2,,0,0.2,,,0.3
emotions,MLC_PA_MLP,4,3,0.3376810175401193,81,0.3,0.36237237556481067,0.024691358024691357,0.4
emotions,MLC_PA_MLP,4,4,0.3568758053692761,302,0.4,0.45621355371364697,0.09933774834437085,0.5
emotions,MLC_PA_MLP,4,5,0.02429324666231769,279,0.5,0.5404222789203822,0.5161290322580645,0.6
emotions,MLC_PA_MLP,4,6,0.1751097963567365,57,0.6,0.6319077475029126,0.8070175438596491,0.7
emotions,MLC_PA_MLP,4,7,0.26865434646606445,1,0.7,0.7313456535339355,1.0,0.8
emotions,MLC_PA_MLP,4,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,4,9,,0,0.9,,,1.0
emotions,MLC_PA_MLP,5,0,,0,0.0,,,0.1
emotions,MLC_PA_MLP,5,1,,0,0.1,,,0.2
emotions,MLC_PA_MLP,5,2,0.2785380532344182,3,0.2,0.2785380532344182,0.0,0.3
emotions,MLC_PA_MLP,5,3,0.32469850260278454,92,0.3,0.36817676347234973,0.043478260869565216,0.4
emotions,MLC_PA_MLP,5,4,0.32294483820106756,243,0.4,0.4546320809994215,0.13168724279835392,0.5
emotions,MLC_PA_MLP,5,5,0.009071037477376587,245,0.5,0.543764915028397,0.5346938775510204,0.6
emotions,MLC_PA_MLP,5,6,0.1261677260984454,57,0.6,0.6282182388138353,0.7543859649122807,0.7
emotions,MLC_PA_MLP,5,7,0.2649500327450889,14,0.7,0.7350499672549111,1.0,0.8
emotions,MLC_PA_MLP,5,8,,0,0.8,,,0.9
emotions,MLC_PA_MLP,5,9,,0,0.9,,,1.0
emotions,GSI_MLC_PA_MLP,1,0,,0,0.0,,,0.1
emotions,GSI_MLC_PA_MLP,1,1,,0,0.1,,,0.2
emotions,GSI_MLC_PA_MLP,1,2,0.2758619487285614,14,0.2,0.2758619487285614,0.0,0.3
emotions,GSI_MLC_PA_MLP,1,3,0.3016908523337594,116,0.3,0.3620356799199663,0.0603448275862069,0.4
emotions,GSI_MLC_PA_MLP,1,4,0.2899267468476455,298,0.4,0.45435627704898784,0.1644295302013423,0.5
