Dataset,Model,Cost,Fold,AABS,ABS,AURC,Abstained Position Count,Coverage,Decided Position Count,Error Capture Rate,Errors Avoided,Full Error Count,Generalized Loss,Optimistic Hamming Accuracy,Optimistic Instance Jaccard,Optimistic Instance-F1,Optimistic Macro-F1,Optimistic Micro-F1,Oracle Gain Hamming Accuracy,Oracle Gain Instance Jaccard,Oracle Gain Instance-F1,Oracle Gain Macro-F1,Oracle Gain Micro-F1,Rejected Counterfactual Macro-F1,Rejected Error Count,Rejected Error Rate,Rejected Position Count,Risk at Coverage,Selective Hamming Accuracy,Selective Macro-F1,Selective Micro-F1,Total Position Count
emotions,MLC_PA_MLP,0.20,1,0.9986338797814208,1.0,0.18041669886265319,731,0.001366120218579235,1,1.0,217,217,0.19972677595628405,1.0,1.0,1.0,1.0,1.0,0.29644808743169393,0.5173497267759564,0.3967993754879001,0.38157417161594454,0.3773913043478261,0.617055641755187,217,0.2968536251709986,731,0.0,1.0,0.16666666666666666,1.0,732
emotions,MLC_PA_MLP,0.20,2,1.0,1.0,0.14952307989235247,714,0.0,0,1.0,187,187,0.19999999999999984,1.0,1.0,1.0,1.0,1.0,0.26190476190476186,0.48375350140056017,0.38039215686274497,0.35350711415227554,0.350844277673546,0.6464928858477245,187,0.2619047619047619,714,,,0.0,0.0,714
emotions,MLC_PA_MLP,0.20,3,1.0,1.0,0.15153367508051271,738,0.0,0,1.0,197,197,0.19999999999999993,1.0,1.0,1.0,1.0,1.0,0.26693766937669383,0.5055555555555555,0.38606271777003476,0.3795163732220208,0.36146788990825685,0.6204836267779792,197,0.2669376693766938,738,,,0.0,0.0,738
emotions,MLC_PA_MLP,0.20,4,1.0,1.0,0.1445517228493241,720,0.0,0,1.0,178,178,0.19999999999999996,1.0,1.0,1.0,1.0,1.0,0.24722222222222223,0.4472222222222222,0.33218253968253963,0.3170375927408494,0.31785714285714284,0.6829624072591506,178,0.24722222222222223,720,,,0.0,0.0,720
emotions,MLC_PA_MLP,0.20,5,1.0,1.0,0.1503124663314044,654,0.0,0,1.0,164,164,0.19999999999999993,1.0,1.0,1.0,1.0,1.0,0.25076452599388377,0.4292048929663609,0.3194408038444735,0.30793359037719936,0.3037037037037037,0.6920664096228006,164,0.25076452599388377,654,,,0.0,0.0,654
emotions,MLC_PA_MLP,0.25,1,0.9972677595628415,1.0,0.18041669886265319,730,0.00273224043715847,2,1.0,217,217,0.24931693989071038,1.0,1.0,1.0,1.0,1.0,0.29644808743169393,0.5173497267759564,0.3967993754879001,0.38157417161594454,0.3773913043478261,0.617055641755187,217,0.29726027397260274,730,0.0,1.0,0.16666666666666666,1.0,732
emotions,MLC_PA_MLP,0.25,2,1.0,1.0,0.14952307989235247,714,0.0,0,1.0,187,187,0.25,1.0,1.0,1.0,1.0,1.0,0.26190476190476186,0.48375350140056017,0.38039215686274497,0.35350711415227554,0.350844277673546,0.6464928858477245,187,0.2619047619047619,714,,,0.0,0.0,714
emotions,MLC_PA_MLP,0.25,3,1.0,1.0,0.15153367508051271,738,0.0,0,1.0,197,197,0.25,1.0,1.0,1.0,1.0,1.0,0.26693766937669383,0.5055555555555555,0.38606271777003476,0.3795163732220208,0.36146788990825685,0.6204836267779792,197,0.2669376693766938,738,,,0.0,0.0,738
emotions,MLC_PA_MLP,0.25,4,1.0,1.0,0.1445517228493241,720,0.0,0,1.0,178,178,0.25,1.0,1.0,1.0,1.0,1.0,0.24722222222222223,0.4472222222222222,0.33218253968253963,0.3170375927408494,0.31785714285714284,0.6829624072591506,178,0.24722222222222223,720,,,0.0,0.0,720
emotions,MLC_PA_MLP,0.25,5,0.9923547400611621,1.0,0.1503124663314044,649,0.00764525993883792,5,1.0,164,164,0.24808868501529052,1.0,1.0,1.0,1.0,1.0,0.25076452599388377,0.4292048929663609,0.3194408038444735,0.30793359037719936,0.3037037037037037,0.6870735589727205,164,0.2526964560862866,649,0.0,1.0,0.3333333333333333,1.0,654
